omic	batch	axis	group_ko	group_ref	n_ko	n_ref	mean_ko	mean_ref	effect	t_stat	df_t	p_value	FDR	effect_z
Lipid	batch2	Supply	HO	WT	4	4	0.08696143449794316	-0.08696143449794305	0.17392286899588622	1.5692200121982776	NA	0.11659668271610782	0.5527850164405828	1.5692200121982776
Lipid	batch2	Synthesis	HO	WT	4	4	-0.2258285723683914	0.22582857236839127	-0.45165714473678265	-1.4491819511575583	NA	0.14728677657015052	0.564599310185577	-1.4491819511575583
Lipid	batch2	Transport	HO	WT	4	4	-0.11702206719300572	0.1170220671930057	-0.2340441343860114	-0.7041098596365389	NA	0.4813643604289935	0.7290474217695018	-0.7041098596365389
Lipid	batch3	Membrane context	HO	WT	4	4	0.15573634433735303	-0.1557363443373524	0.31147268867470546	1.0502125542272682	NA	0.29362039881537433	0.7040738396547976	1.0502125542272682
Lipid	batch3	Oxidation	HO	WT	4	4	0.07275963512893459	-0.07275963512893459	0.14551927025786918	0.6697748188314725	NA	0.5030013482211241	0.7290474217695018	0.6697748188314725
Lipid	batch3	Remodeling	HO	WT	4	4	-0.17144231426907283	0.1714423142690727	-0.3428846285381455	-1.1557543929094658	NA	0.2477816326624559	0.7040738396547976	-1.1557543929094658
Lipid	batch3	Supply	HO	WT	4	4	-0.06250852262408355	0.06250852262408337	-0.12501704524816692	-1.0233993624717146	NA	0.30611906071947725	0.7040738396547976	-1.0233993624717146
Lipid	batch3	Synthesis	HO	WT	4	4	-0.07421158282756232	0.07421158282756277	-0.1484231656551251	-0.4544073286310937	NA	0.6495356785411783	0.746966030322355	-0.4544073286310937
Lipid	batch3	Transport	HO	WT	4	4	0.2371453245165583	-0.23714532451655823	0.4742906490331165	1.6019333103991262	NA	0.10917035751605192	0.5527850164405828	1.6019333103991262
Lipid	batch4	Membrane context	HO	WT	3	4	0.2431708135352488	-0.18237811015143648	0.4255489236866853	0.5494001441509279	NA	0.5827308751844101	0.7359475048296668	0.5494001441509279
Lipid	batch4	Oxidation	HO	WT	3	4	-0.1182117266576962	0.08865879499327212	-0.2068705216509683	-0.7287954840078895	NA	0.466126774422768	0.7290474217695018	-0.7287954840078895
Lipid	batch4	Remodeling	HO	WT	3	4	0.2534700195083669	-0.19010251463127517	0.4435725341396421	0.6632609779056742	NA	0.5071634238396534	0.7290474217695018	0.6632609779056742
Lipid	batch4	Supply	HO	WT	3	4	-0.1182117266576962	0.08865879499327212	-0.2068705216509683	-0.7287954840078895	NA	0.466126774422768	0.7290474217695018	-0.7287954840078895
Lipid	batch4	Synthesis	HO	WT	3	4	0.00168684005496408	-0.00126513004122304	0.00295197009618712	0.01649582353922443	NA	0.986838833968659	0.986838833968659	0.01649582353922443
Lipid	batch4	Transport	HO	WT	3	4	NA	NA	NA	NA	NA	NA	NA	NA
