batch	sample_id	intensity	lipidName	LipidIon	Class	CalcMz	qc_grade	qc_sn	qc_rt	qc_height	is_qc	keep_for_correction
batch2	HO_12	1360000000	PS(18:0_20:4)	PS(18:0_20:4)+H	PS	812.5436135	NA	74.50571574	NA	NA	FALSE	TRUE
batch2	HO_9	480000000	PS(18:0_20:4)	PS(18:0_20:4)+H	PS	812.5436135	NA	10.95580751	NA	NA	FALSE	TRUE
batch2	QC_0	669000000	PS(18:0_20:4)	PS(18:0_20:4)+H	PS	812.5436135	B	76.36929179	NA	NA	TRUE	TRUE
batch2	QC_1	780000000	PS(18:0_20:4)	PS(18:0_20:4)+H	PS	812.5436135	NA	54.42975853	NA	NA	TRUE	TRUE
batch2	QC_2	724000000	PS(18:0_20:4)	PS(18:0_20:4)+H	PS	812.5436135	NA	11.4640015	NA	NA	TRUE	TRUE
batch2	QC_3	697000000	PS(18:0_20:4)	PS(18:0_20:4)+H	PS	812.5436135	A	12.98812911	NA	NA	TRUE	TRUE
batch2	WT_1	506000000	PS(18:0_20:4)	PS(18:0_20:4)+H	PS	812.5436135	NA	12.06828655	NA	NA	FALSE	TRUE
batch2	WT_2	328000000	PS(18:0_20:4)	PS(18:0_20:4)+H	PS	812.5436135	NA	49.21532497	NA	NA	FALSE	TRUE
batch2	WT_3	289000000	PS(18:0_20:4)	PS(18:0_20:4)+H	PS	812.5436135	NA	7.913660788	NA	NA	FALSE	TRUE
batch2	WT_5	984000000	PS(18:0_20:4)	PS(18:0_20:4)+H	PS	812.5436135	NA	70.06332508	NA	NA	FALSE	TRUE
batch2	HO_10	416000000	PS(18:0_22:5)	PS(18:0_22:5)+H	PS	838.5592635	B	35200000	NA	NA	FALSE	TRUE
batch2	HO_11	497000000	PS(18:0_22:5)	PS(18:0_22:5)+H	PS	838.5592635	A	8.360807075	NA	NA	FALSE	TRUE
batch2	HO_12	789000000	PS(18:0_22:5)	PS(18:0_22:5)+H	PS	838.5592635	A	124.7533376	NA	NA	FALSE	TRUE
batch2	HO_9	314000000	PS(18:0_22:5)	PS(18:0_22:5)+H	PS	838.5592635	B	105.0572139	NA	NA	FALSE	TRUE
batch2	QC_0	487000000	PS(18:0_22:5)	PS(18:0_22:5)+H	PS	838.5592635	A	11.39632675	NA	NA	TRUE	TRUE
batch2	QC_1	490000000	PS(18:0_22:5)	PS(18:0_22:5)+H	PS	838.5592635	A	62.18790608	NA	NA	TRUE	TRUE
batch2	QC_2	484000000	PS(18:0_22:5)	PS(18:0_22:5)+H	PS	838.5592635	A	36.21567971	NA	NA	TRUE	TRUE
batch2	QC_3	466000000	PS(18:0_22:5)	PS(18:0_22:5)+H	PS	838.5592635	A	10.043255	NA	NA	TRUE	TRUE
batch2	WT_1	379000000	PS(18:0_22:5)	PS(18:0_22:5)+H	PS	838.5592635	B	108.7165448	NA	NA	FALSE	TRUE
batch2	WT_2	228000000	PS(18:0_22:5)	PS(18:0_22:5)+H	PS	838.5592635	A	27.84099561	NA	NA	FALSE	TRUE
batch2	WT_3	204000000	PS(18:0_22:5)	PS(18:0_22:5)+H	PS	838.5592635	A	19.93349293	NA	NA	FALSE	TRUE
batch2	WT_5	584000000	PS(18:0_22:5)	PS(18:0_22:5)+H	PS	838.5592635	A	21.25098561	NA	NA	FALSE	TRUE
batch2	HO_10	247000000	PS(18:0_22:6)	PS(18:0_22:6)-H	PS	834.5290605	A	40.4769472	NA	NA	FALSE	TRUE
batch2	HO_11	269000000	PS(18:0_22:6)	PS(18:0_22:6)-H	PS	834.5290605	B	83.60753593	NA	NA	FALSE	TRUE
batch2	HO_12	483000000	PS(18:0_22:6)	PS(18:0_22:6)-H	PS	834.5290605	A	168.7517256	NA	NA	FALSE	TRUE
batch2	HO_9	184000000	PS(18:0_22:6)	PS(18:0_22:6)-H	PS	834.5290605	B	83.42449742	NA	NA	FALSE	TRUE
batch2	QC_0	266000000	PS(18:0_22:6)	PS(18:0_22:6)-H	PS	834.5290605	A	72.12215916	NA	NA	TRUE	TRUE
batch2	QC_1	252000000	PS(18:0_22:6)	PS(18:0_22:6)-H	PS	834.5290605	B	83.7039067	NA	NA	TRUE	TRUE
batch2	QC_2	232000000	PS(18:0_22:6)	PS(18:0_22:6)-H	PS	834.5290605	A	53.94895547	NA	NA	TRUE	TRUE
batch2	QC_3	228000000	PS(18:0_22:6)	PS(18:0_22:6)-H	PS	834.5290605	A	91.50495877	NA	NA	TRUE	TRUE
batch2	WT_1	203000000	PS(18:0_22:6)	PS(18:0_22:6)-H	PS	834.5290605	A	53.9359521	NA	NA	FALSE	TRUE
batch2	WT_2	92400000	PS(18:0_22:6)	PS(18:0_22:6)-H	PS	834.5290605	B	33.02047327	NA	NA	FALSE	TRUE
batch2	WT_3	90500000	PS(18:0_22:6)	PS(18:0_22:6)-H	PS	834.5290605	A	34.02717287	NA	NA	FALSE	TRUE
batch2	WT_5	321000000	PS(18:0_22:6)	PS(18:0_22:6)-H	PS	834.5290605	A	109.1444458	NA	NA	FALSE	TRUE
batch2	HO_10	92400000	PS(18:1_18:1)	PS(18:1_18:1)+Na	PS	810.5255585	A	12.93682364	NA	NA	FALSE	TRUE
batch2	HO_11	96100000	PS(18:1_18:1)	PS(18:1_18:1)+Na	PS	810.5255585	A	7.417961708	NA	NA	FALSE	TRUE
batch2	HO_12	189000000	PS(18:1_18:1)	PS(18:1_18:1)+Na	PS	810.5255585	A	12.49198649	NA	NA	FALSE	TRUE
batch2	HO_9	63200000	PS(18:1_18:1)	PS(18:1_18:1)+Na	PS	810.5255585	A	5.625279207	NA	NA	FALSE	TRUE
batch2	QC_0	103000000	PS(18:1_18:1)	PS(18:1_18:1)+Na	PS	810.5255585	A	12.01851708	NA	NA	TRUE	TRUE
batch2	QC_1	95700000	PS(18:1_18:1)	PS(18:1_18:1)+Na	PS	810.5255585	A	14.68907321	NA	NA	TRUE	TRUE
batch2	QC_2	92100000	PS(18:1_18:1)	PS(18:1_18:1)+Na	PS	810.5255585	A	15.40942008	NA	NA	TRUE	TRUE
batch2	QC_3	77500000	PS(18:1_18:1)	PS(18:1_18:1)+Na	PS	810.5255585	A	16.671444	NA	NA	TRUE	TRUE
batch2	WT_1	73300000	PS(18:1_18:1)	PS(18:1_18:1)+Na	PS	810.5255585	A	13.30692392	NA	NA	FALSE	TRUE
batch2	WT_2	32000000	PS(18:1_18:1)	PS(18:1_18:1)+Na	PS	810.5255585	NA	8.940425391	NA	NA	FALSE	TRUE
batch2	WT_3	26700000	PS(18:1_18:1)	PS(18:1_18:1)+Na	PS	810.5255585	NA	101.8045811	NA	NA	FALSE	TRUE
batch2	WT_5	133000000	PS(18:1_18:1)	PS(18:1_18:1)+Na	PS	810.5255585	A	10.0128158	NA	NA	FALSE	TRUE
batch2	HO_10	32300000	PS(18:1_18:2)	PS(18:1_18:2)+H	PS	786.5279635	A	3948733.5	NA	NA	FALSE	TRUE
batch2	HO_11	55500000	PS(18:1_18:2)	PS(18:1_18:2)+H	PS	786.5279635	A	4835726	NA	NA	FALSE	TRUE
batch2	HO_12	93200000	PS(18:1_18:2)	PS(18:1_18:2)+H	PS	786.5279635	A	8314350.5	NA	NA	FALSE	TRUE
batch2	HO_9	32400000	PS(18:1_18:2)	PS(18:1_18:2)+H	PS	786.5279635	A	3401219.75	NA	NA	FALSE	TRUE
batch2	QC_0	50000000	PS(18:1_18:2)	PS(18:1_18:2)+H	PS	786.5279635	A	4353070.5	NA	NA	TRUE	TRUE
batch2	QC_1	45700000	PS(18:1_18:2)	PS(18:1_18:2)+H	PS	786.5279635	A	4820684	NA	NA	TRUE	TRUE
batch2	QC_2	46200000	PS(18:1_18:2)	PS(18:1_18:2)+H	PS	786.5279635	A	4767969	NA	NA	TRUE	TRUE
batch2	QC_3	44800000	PS(18:1_18:2)	PS(18:1_18:2)+H	PS	786.5279635	NA	5.232111653	NA	NA	TRUE	TRUE
batch2	WT_1	35300000	PS(18:1_18:2)	PS(18:1_18:2)+H	PS	786.5279635	A	3888381.5	NA	NA	FALSE	TRUE
batch2	WT_2	7221688.439	PS(18:1_18:2)	PS(18:1_18:2)+H	PS	786.5279635	NA	1.029660181	NA	NA	FALSE	TRUE
batch2	WT_3	13200000	PS(18:1_18:2)	PS(18:1_18:2)+H	PS	786.5279635	NA	0.47715215	NA	NA	FALSE	TRUE
batch2	WT_5	61900000	PS(18:1_18:2)	PS(18:1_18:2)+H	PS	786.5279635	A	7368747.5	NA	NA	FALSE	TRUE
batch2	HO_10	27100000	PS(18:1_22:4)	PS(18:1_22:4)-H	PS	836.5447105	NA	51.83736535	NA	NA	FALSE	TRUE
batch2	HO_11	24200000	PS(18:1_22:4)	PS(18:1_22:4)-H	PS	836.5447105	C	3.07988776	NA	NA	FALSE	TRUE
batch2	HO_12	27800000	PS(18:1_22:4)	PS(18:1_22:4)-H	PS	836.5447105	NA	183.3605324	NA	NA	FALSE	TRUE
batch2	HO_9	26700000	PS(18:1_22:4)	PS(18:1_22:4)-H	PS	836.5447105	NA	42.16902872	NA	NA	FALSE	TRUE
batch2	QC_0	37000000	PS(18:1_22:4)	PS(18:1_22:4)-H	PS	836.5447105	B	60.77291607	NA	NA	TRUE	TRUE
