global_sample_id	AEA	AcCa	CL	Cer	CerG2Gc1	CerP	CerPE	ChE	Co	DG	DLCL	FA	Hex1Cer	Hex2Cer	LPA	LPC	LPE	LPG	LPI	LPS	LSM	MG	MLCL	OAHFA	PA	PC	PE	PEt	PG	PI	PMe	PS	SM	SPH	SPHP	StE	TG	ZyE
batch2_QC_0	NA	26.528746290091554	23.446866629518105	26.04864822652476	NA	20.362018939419865	NA	25.53356601871735	25.585825375368152	28.395683351629433	25.34750638878929	26.642400998113445	27.087503707867885	25.51988665330636	NA	27.884268086893677	26.082889990716705	21.590713706361985	NA	NA	26.120029454723284	25.28429596783418	26.202041960257656	22.537244489908577	24.996885370783357	30.98220392941803	29.10921650887279	NA	27.956496903692187	27.18242930638106	NA	26.372144774605246	30.649335318113145	28.16335688638737	NA	NA	28.641763783305933	NA
batch2_QC_1	NA	26.610675083816485	23.391258630305767	26.16828267727341	NA	20.240762296190255	NA	25.61069837940585	25.77903106223505	28.379004760517677	25.314040226950162	26.553667245664066	27.1934276613812	25.6775316659913	NA	27.851642481122507	26.09359769110448	21.842605841274082	NA	NA	26.152032450987715	25.260308302973495	26.165125185824643	22.67806549544522	24.950179399111406	30.878321848698356	29.097942357680935	NA	27.90999661686918	27.159986880012006	NA	26.385621998220582	30.812778861976614	28.158118175976572	NA	NA	28.646628237079565	NA
batch2_QC_2	NA	26.555581781953038	23.368681328844325	26.21114939536918	NA	20.62748357798124	NA	25.535222485105532	25.916570409804567	28.410366787445444	25.38054546885847	26.717045747796003	27.201980585933892	25.590614457267968	NA	27.87163705630302	26.074070436783966	21.88243891450597	NA	NA	26.044785843017618	25.208133910056695	26.21057791510375	22.705487736350587	24.99516251291256	30.95262813624099	29.076709628433818	NA	27.89637318966554	27.072545418958505	NA	26.40238495116864	30.78851009811428	28.1802746302234	NA	NA	28.64996426051286	NA
batch2_QC_3	NA	26.550012628776408	23.31567685575477	26.211052599002112	NA	19.610741634957705	NA	25.536672739237442	25.82748321218491	28.399912216276903	25.3664138216042	26.714764809441597	27.228562734918913	25.679398962890176	NA	27.891586202570693	26.120515850799336	21.679477153078448	NA	NA	26.157585465233986	25.204003250561883	26.246443542660217	22.974905899198326	24.97029557740851	30.891483157040838	29.054771521970768	NA	27.89617240545156	26.98660412005306	NA	26.323986738612245	30.799683522260676	28.266212467476098	NA	NA	28.652335973856307	NA
batch2_WT_1	NA	26.04137069906678	23.32172547561359	26.268853883663663	NA	19.765275583489107	NA	25.61685571967904	25.189266834120495	28.460379793099204	25.297362617746167	25.86884494612917	27.071529965663686	25.258783247638917	NA	27.730610486538808	26.02536266129633	20.056040919271954	NA	NA	26.016576362553728	25.53589785028166	26.029873746098744	22.355463402408322	25.06773699078852	31.035944852420066	29.16441982985601	NA	27.842828616999537	26.73323455525551	NA	26.074229424088536	30.80683396193315	29.588190312195128	NA	NA	28.746842405783813	NA
batch2_WT_2	NA	26.365011242485796	23.345553486416946	26.36492511895136	NA	19.389933660666486	NA	25.830986818448647	25.944787642802854	27.657629311786017	25.57596886121587	27.299322938160792	27.168623139487813	25.06541843400257	NA	27.89623303724015	25.593720048216227	22.145485492036517	NA	NA	26.097038090272928	25.228174097200608	26.40658247802213	24.13214112224315	25.06333711204122	31.165875412865823	29.16505073956914	NA	28.232361796277058	26.48016294333613	NA	25.696790672905593	30.60144370729154	29.0340957057868	NA	NA	26.804520393446822	NA
batch2_WT_3	NA	26.544937567494713	23.349974892650028	25.871570232442615	NA	19.71556609803312	NA	25.16984805812731	26.078649602422995	27.729576203518302	25.486487260258688	27.02948800408352	27.166215537595846	25.276376090691365	NA	27.87800645430889	25.80408663177675	20.803308391317703	NA	NA	26.93806497631993	25.467126932299518	26.180137501031982	23.59327995438862	25.049417341784675	31.047627211022395	29.124698527078472	NA	28.08231813656223	26.514621244928296	NA	25.549679031377448	30.43281303946239	27.309298122668142	NA	NA	27.34029496925017	NA
batch2_WT_5	NA	26.407398693560236	23.5352043037604	26.026860671968457	NA	19.529653530397084	NA	25.492108806898333	26.26740940180131	28.019301105048328	25.4044873144749	26.53824126119743	27.14829998711774	25.179045219100686	NA	27.748799479617972	25.849666603500083	21.9468503226888	NA	NA	26.121316652374325	24.48052576334119	26.19515693471648	22.64849883224168	24.97338942693875	31.003603753472493	29.227028056960474	NA	27.993296957767388	27.34476450383256	NA	26.61570057420417	30.67157321653816	27.224071505931057	NA	NA	27.1600899180359	NA
batch3_HO_5	NA	26.144311352183006	24.853580175432448	26.317870620886016	NA	30.11574219998622	29.433817969377976	25.897404993358684	27.219377571031323	27.740248447480205	25.356671928657533	NA	27.53256175888685	26.355231051153037	21.858423766582483	27.062118016032368	24.858771604167934	22.590151976842716	21.869535625791304	21.574705447920678	24.426082320598432	NA	25.53949646268188	20.64753620637045	27.485344150729677	31.176396578019624	29.242200865215246	NA	27.662680177483423	27.461593750712936	NA	27.27490933561072	31.087272009346187	27.207517234851846	NA	NA	27.150905787446106	NA
batch3_HO_6	NA	25.235058460917873	25.071089843055795	26.322711349147895	NA	30.036019749686552	27.39256159965526	25.81005112147229	27.05488887538284	27.573673450554036	25.61006069279304	NA	27.622354872384246	26.12872234201418	21.95860662265352	27.01562841134914	24.92331084621118	22.50981680250193	22.089789234899627	20.931931343179397	24.4024770685204	NA	25.34232660946858	20.83094056377281	27.43745226684338	31.11096866192252	29.377830665393457	NA	27.708909241600793	27.22409942470886	NA	26.392303304550683	31.681290351031727	26.031343987027476	NA	NA	26.59478669371418	NA
