feature_id	lipidName	LipidIon	Class	CalcMz	n_samples_total	n_non_na_global	detect_rate_global	min_detect_rate_group	var_log	pass_global	pass_group	pass_var	keep_feature
CL(20:4_18:0_18:1_18:2) | CL(20:4_18:0_18:1_18:2)-H | 1478.0119	CL(20:4_18:0_18:1_18:2)	CL(20:4_18:0_18:1_18:2)-H	CL	1478.011905	12	12	1	1	0.034357303373192545	TRUE	TRUE	TRUE	TRUE
CL(20:4_18:1_18:2_20:3)-H | CL(20:4_18:1_18:2_20:3)-H | 1499.9963	CL(20:4_18:1_18:2_20:3)-H	CL(20:4_18:1_18:2_20:3)-H	CL	1499.996255	9	9	1	1	71.89735709534511	TRUE	TRUE	TRUE	TRUE
CL(20:5_16:1_18:2_18:2) | CL(20:5_16:1_18:2_18:2)-H | 1443.9337	CL(20:5_16:1_18:2_18:2)	CL(20:5_16:1_18:2_18:2)-H	CL	1443.933655	10	10	1	1	1.115829861792398	TRUE	TRUE	TRUE	TRUE
CL(20:5_18:2_16:1_16:1) | CL(20:5_18:2_16:1_16:1)-H | 1417.9180	CL(20:5_18:2_16:1_16:1)	CL(20:5_18:2_16:1_16:1)-H	CL	1417.918005	10	10	1	1	1.660294897481327	TRUE	TRUE	TRUE	TRUE
CL(20:5_18:2_16:1_18:2) | CL(20:5_18:2_16:1_18:2)-H | 1443.9337	CL(20:5_18:2_16:1_18:2)	CL(20:5_18:2_16:1_18:2)-H	CL	1443.933655	12	12	1	1	0.03694709711446397	TRUE	TRUE	TRUE	TRUE
CL(20:5_18:2_18:2_18:2) | CL(20:5_18:2_18:2_18:2)-H | 1469.9493	CL(20:5_18:2_18:2_18:2)	CL(20:5_18:2_18:2_18:2)-H	CL	1469.949305	12	12	1	1	59.11738856655708	TRUE	TRUE	TRUE	TRUE
CL(20:5_18:2_18:2_18:2)-H | CL(20:5_18:2_18:2_18:2)-H | 1469.9493	CL(20:5_18:2_18:2_18:2)-H	CL(20:5_18:2_18:2_18:2)-H	CL	1469.949305	9	9	1	1	112.9591027635547	TRUE	TRUE	TRUE	TRUE
CL(20:5_18:2_18:2_20:4) | CL(20:5_18:2_18:2_20:4)-H | 1493.9493	CL(20:5_18:2_18:2_20:4)	CL(20:5_18:2_18:2_20:4)-H	CL	1493.949305	12	12	1	1	0.05417608892255266	TRUE	TRUE	TRUE	TRUE
CL(20:5_20:4_18:2_18:2) | CL(20:5_20:4_18:2_18:2)-H | 1493.9493	CL(20:5_20:4_18:2_18:2)	CL(20:5_20:4_18:2_18:2)-H	CL	1493.949305	10	10	1	1	1.024819367379835	TRUE	TRUE	TRUE	TRUE
CL(21:0_22:4_18:1_18:0) | CL(21:0_22:4_18:1_18:0)-H | 1552.1215	CL(21:0_22:4_18:1_18:0)	CL(21:0_22:4_18:1_18:0)-H	CL	1552.121455	10	10	1	1	0.04232671234709925	TRUE	TRUE	TRUE	TRUE
CL(21:0_22:5_18:0_18:1) | CL(21:0_22:5_18:0_18:1)-2H | 774.5493	CL(21:0_22:5_18:0_18:1)	CL(21:0_22:5_18:0_18:1)-2H	CL	774.549264	12	12	1	1	0.01260418016096458	TRUE	TRUE	FALSE	FALSE
CL(21:0_22:6_16:0_18:1) | CL(21:0_22:6_16:0_18:1)-H | 1520.0589	CL(21:0_22:6_16:0_18:1)	CL(21:0_22:6_16:0_18:1)-H	CL	1520.058855	12	12	1	1	0.023833969538285472	TRUE	TRUE	TRUE	TRUE
CL(21:1_22:5_18:1_18:1) | CL(21:1_22:5_18:1_18:1)-2H | 772.5336	CL(21:1_22:5_18:1_18:1)	CL(21:1_22:5_18:1_18:1)-2H	CL	772.53361399999994	12	12	1	1	0.011846012589158024	TRUE	TRUE	FALSE	FALSE
CL(22:1_24:1_18:0_18:1) | CL(22:1_24:1_18:0_18:1)-H | 1598.1997	CL(22:1_24:1_18:0_18:1)	CL(22:1_24:1_18:0_18:1)-H	CL	1598.199705	10	10	1	1	0.5820305938978285	TRUE	TRUE	TRUE	TRUE
CL(23:0_20:3_18:0_22:4) | CL(23:0_20:3_18:0_22:4)-H | 1604.1528	CL(23:0_20:3_18:0_22:4)	CL(23:0_20:3_18:0_22:4)-H	CL	1604.152755	10	10	1	1	0.14501300086187593	TRUE	TRUE	TRUE	TRUE
CL(23:0_22:5_18:0_18:1)-H | CL(23:0_22:5_18:0_18:1)-H | 1578.1371	CL(23:0_22:5_18:0_18:1)-H	CL(23:0_22:5_18:0_18:1)-H	CL	1578.137105	9	9	1	1	0.06301390919307276	TRUE	TRUE	TRUE	TRUE
CL(24:0_16:0_18:0_14:0)-2H | CL(24:0_16:0_18:0_14:0)-2H | 731.5414	CL(24:0_16:0_18:0_14:0)-2H	CL(24:0_16:0_18:0_14:0)-2H	CL	731.5414390299999	9	9	1	1	0.052646674067344724	TRUE	TRUE	TRUE	TRUE
CL(24:0_18:2_18:1_18:1)-2H | CL(24:0_18:2_18:1_18:1)-2H | 769.5571	CL(24:0_18:2_18:1_18:1)-2H	CL(24:0_18:2_18:1_18:1)-2H	CL	769.5570890299999	9	9	1	1	0.4273111788439396	TRUE	TRUE	TRUE	TRUE
CL(64:4) | CL(64:4)-H | 1343.9024	CL(64:4)	CL(64:4)-H	CL	1343.902355	10	10	1	1	32.509989225715984	TRUE	TRUE	TRUE	TRUE
CL(66:1)-2H | CL(66:1)-2H | 688.4867	CL(66:1)-2H	CL(66:1)-2H	CL	688.4866640299999	9	9	1	1	0.036592162971149964	TRUE	TRUE	TRUE	TRUE
CL(66:3)-2H | CL(66:3)-2H | 686.4710	CL(66:3)-2H	CL(66:3)-2H	CL	686.4710140299999	9	9	1	1	0.028678660001390563	TRUE	TRUE	TRUE	TRUE
CL(66:4) | CL(66:4)+H | 1373.9482	CL(66:4)	CL(66:4)+H	CL	1373.948207	10	10	1	1	4.03282996489924	TRUE	TRUE	TRUE	TRUE
CL(67:0) | CL(67:0)-2H | 696.5023	CL(67:0)	CL(67:0)-2H	CL	696.502314	12	12	1	1	0.04028089665668797	TRUE	TRUE	TRUE	TRUE
CL(67:0) | CL(67:0)-H | 1394.0119	CL(67:0)	CL(67:0)-H	CL	1394.011905	10	10	1	1	1.1515931114608398	TRUE	TRUE	TRUE	TRUE
CL(67:4) | CL(67:4)-H | 1385.9493	CL(67:4)	CL(67:4)-H	CL	1385.949305	10	10	1	1	0.8125875121319546	TRUE	TRUE	TRUE	TRUE
