batch	sample_id	intensity	lipidName	LipidIon	Class	CalcMz	qc_grade	qc_sn	qc_rt	qc_height	is_qc
batch1	WT_1	8211120.534	AcCa(18:2)	AcCa(18:2)+H	AcCa	424.3421355	NA	9.085168221598304	NA	NA	FALSE
batch1	WT_2	11533605.05	AcCa(18:2)	AcCa(18:2)+H	AcCa	424.3421355	NA	14.661564268018513	NA	NA	FALSE
batch1	WT_3	19398700.63	AcCa(18:2)	AcCa(18:2)+H	AcCa	424.3421355	A	139.42780269095653	NA	NA	FALSE
batch1	WT_4	14601366.15	AcCa(18:2)	AcCa(18:2)+H	AcCa	424.3421355	A	1466026	NA	NA	FALSE
batch1	HO_5	1916695.753	CL(18:1_18:1_18:2_20:4)-H	CL(18:1_18:1_18:2_20:4)-H	CL	1475.996255	NA	215745.71	NA	NA	FALSE
batch1	HO_6	1146304.987	CL(18:1_18:1_18:2_20:4)-H	CL(18:1_18:1_18:2_20:4)-H	CL	1475.996255	NA	263971.92	NA	NA	FALSE
batch1	HO_7	92180217.65	CL(18:1_18:1_18:2_20:4)-H	CL(18:1_18:1_18:2_20:4)-H	CL	1475.996255	NA	17.913976271396038	NA	NA	FALSE
batch1	HO_8	89947584.99	CL(18:1_18:1_18:2_20:4)-H	CL(18:1_18:1_18:2_20:4)-H	CL	1475.996255	NA	4838335.5	NA	NA	FALSE
batch1	QC_1	108713420.2	CL(18:1_18:1_18:2_20:4)-H	CL(18:1_18:1_18:2_20:4)-H	CL	1475.996255	NA	21.740001729578708	NA	NA	TRUE
batch1	WT_1	165087188.9	CL(18:1_18:1_18:2_20:4)-H	CL(18:1_18:1_18:2_20:4)-H	CL	1475.996255	A	24.508945116795665	NA	NA	FALSE
batch1	WT_2	221475139.2	CL(18:1_18:1_18:2_20:4)-H	CL(18:1_18:1_18:2_20:4)-H	CL	1475.996255	NA	48.63600399	NA	NA	FALSE
batch1	WT_3	144767611.7	CL(18:1_18:1_18:2_20:4)-H	CL(18:1_18:1_18:2_20:4)-H	CL	1475.996255	NA	21.398120621730943	NA	NA	FALSE
batch1	WT_4	144019177.9	CL(18:1_18:1_18:2_20:4)-H	CL(18:1_18:1_18:2_20:4)-H	CL	1475.996255	B	28.619618324389787	NA	NA	FALSE
batch1	HO_5	0	CL(18:2_16:0_18:1_18:2)-H	CL(18:2_16:0_18:1_18:2)-H	CL	1425.9806045300002	NA	0	NA	NA	FALSE
batch1	HO_6	0	CL(18:2_16:0_18:1_18:2)-H	CL(18:2_16:0_18:1_18:2)-H	CL	1425.9806045300002	NA	NA	NA	NA	FALSE
batch1	HO_7	2004545.86	CL(18:2_16:0_18:1_18:2)-H	CL(18:2_16:0_18:1_18:2)-H	CL	1425.9806045300002	NA	1.0115499545357232	NA	NA	FALSE
batch1	HO_8	11536140.61	CL(18:2_16:0_18:1_18:2)-H	CL(18:2_16:0_18:1_18:2)-H	CL	1425.9806045300002	B	0.69910038	NA	NA	FALSE
batch1	QC_1	16752688.1	CL(18:2_16:0_18:1_18:2)-H	CL(18:2_16:0_18:1_18:2)-H	CL	1425.9806045300002	A	1.8791912681231515	NA	NA	TRUE
batch1	WT_1	36354607.1	CL(18:2_16:0_18:1_18:2)-H	CL(18:2_16:0_18:1_18:2)-H	CL	1425.9806045300002	NA	4.903858161220655	NA	NA	FALSE
batch1	WT_2	12149502.69	CL(18:2_16:0_18:1_18:2)-H	CL(18:2_16:0_18:1_18:2)-H	CL	1425.9806045300002	A	1.4192523460217976	NA	NA	FALSE
batch1	WT_3	41068679.32	CL(18:2_16:0_18:1_18:2)-H	CL(18:2_16:0_18:1_18:2)-H	CL	1425.9806045300002	A	1.760006723623908	NA	NA	FALSE
batch1	WT_4	22967683.69	CL(18:2_16:0_18:1_18:2)-H	CL(18:2_16:0_18:1_18:2)-H	CL	1425.9806045300002	A	0.963836226	NA	NA	FALSE
batch1	HO_5	0	CL(18:2_16:1_18:2_18:1)-H	CL(18:2_16:1_18:2_18:1)-H	CL	1423.9649545300001	NA	NA	NA	NA	FALSE
batch1	HO_6	0	CL(18:2_16:1_18:2_18:1)-H	CL(18:2_16:1_18:2_18:1)-H	CL	1423.9649545300001	NA	NA	NA	NA	FALSE
batch1	HO_7	26068514.01	CL(18:2_16:1_18:2_18:1)-H	CL(18:2_16:1_18:2_18:1)-H	CL	1423.9649545300001	A	6.335357753059203	NA	NA	FALSE
batch1	HO_8	26509526.51	CL(18:2_16:1_18:2_18:1)-H	CL(18:2_16:1_18:2_18:1)-H	CL	1423.9649545300001	A	5.088946426427386	NA	NA	FALSE
batch1	QC_1	25720910.7	CL(18:2_16:1_18:2_18:1)-H	CL(18:2_16:1_18:2_18:1)-H	CL	1423.9649545300001	D	1.9197069337341224	NA	NA	TRUE
batch1	WT_1	47190185.44	CL(18:2_16:1_18:2_18:1)-H	CL(18:2_16:1_18:2_18:1)-H	CL	1423.9649545300001	A	28.701550557087007	NA	NA	FALSE
batch1	WT_2	63282647.63	CL(18:2_16:1_18:2_18:1)-H	CL(18:2_16:1_18:2_18:1)-H	CL	1423.9649545300001	A	15.439683011922307	NA	NA	FALSE
batch1	WT_3	36663846.75	CL(18:2_16:1_18:2_18:1)-H	CL(18:2_16:1_18:2_18:1)-H	CL	1423.9649545300001	A	8.970060111896512	NA	NA	FALSE
batch1	WT_4	38284734.94	CL(18:2_16:1_18:2_18:1)-H	CL(18:2_16:1_18:2_18:1)-H	CL	1423.9649545300001	A	39.260153931619705	NA	NA	FALSE
batch1	HO_5	377210.908	CL(18:2_16:1_18:2_18:2)-H	CL(18:2_16:1_18:2_18:2)-H	CL	1421.949305	NA	138040.08	NA	NA	FALSE
batch1	HO_6	520669.337	CL(18:2_16:1_18:2_18:2)-H	CL(18:2_16:1_18:2_18:2)-H	CL	1421.949305	NA	188019.59	NA	NA	FALSE
batch1	HO_7	17886562.59	CL(18:2_16:1_18:2_18:2)-H	CL(18:2_16:1_18:2_18:2)-H	CL	1421.949305	A	1804632.88	NA	NA	FALSE
batch1	HO_8	21224152.06	CL(18:2_16:1_18:2_18:2)-H	CL(18:2_16:1_18:2_18:2)-H	CL	1421.949305	A	1818808.13	NA	NA	FALSE
batch1	QC_1	20295962.4	CL(18:2_16:1_18:2_18:2)-H	CL(18:2_16:1_18:2_18:2)-H	CL	1421.949305	A	2182047.25	NA	NA	TRUE
