feature_id	lipidName	LipidIon	Class	CalcMz	batch3_HO_5	batch3_HO_6	batch3_HO_7	batch3_HO_8	batch3_QC_0	batch3_QC_1	batch3_QC_2	batch3_QC_3	batch3_WT_1	batch3_WT_2	batch3_WT_3	batch3_WT_4	batch4_HO_10	batch4_HO_6	batch4_HO_7	batch4_QC_1	batch4_QC_2	batch4_QC_3	batch4_WT_1	batch4_WT_3	batch4_WT_4	batch4_WT_5	batch1_HO_5	batch1_HO_6	batch1_HO_7	batch1_HO_8	batch1_QC_1	batch1_WT_1	batch1_WT_2	batch1_WT_3	batch1_WT_4	batch2_HO_10	batch2_HO_11	batch2_HO_12	batch2_HO_9	batch2_QC_0	batch2_QC_1	batch2_QC_2	batch2_QC_3	batch2_WT_1	batch2_WT_2	batch2_WT_3	batch2_WT_5
CL(18:2_16:1_20:4_18:2) | CL(18:2_16:1_20:4_18:2)-H | 1445.9493	CL(18:2_16:1_20:4_18:2)	CL(18:2_16:1_20:4_18:2)-H	CL	1445.949305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.559375565287784	22.320890443339113	22.465545792334694	21.978508473342586	22.25331604066277	22.34959218672683	22.940215109160476	23.781938444300234	22.83599943630388	22.580136496815804	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.092213464022866	19.411604413080745	21.05168132581928	18.59357578807658	20.070525924277757	19.68234607898194	19.35098825312046	18.66058462477051	18.51170988613713	18.02176287375659	16.525651323279313	20.13066427806825
CL(18:2_18:1_15:1_18:1) | CL(18:2_18:1_15:1_18:1)-H | 1411.9650	CL(18:2_18:1_15:1_18:1)	CL(18:2_18:1_15:1_18:1)-H	CL	1411.964955	19.489203934377343	19.465616300692297	19.805999675379685	18.666517411592135	19.243276828876578	19.530186134424476	19.857580533368633	19.995775196398554	19.639857895610238	19.747034960377345	19.829507695433914	19.681635030210344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_18:1_16:1_16:1) | CL(18:2_18:1_16:1_16:1)-H | 1397.9493	CL(18:2_18:1_16:1_16:1)	CL(18:2_18:1_16:1_16:1)-H	CL	1397.949305	21.71612659446843	22.152271618547534	21.768327266100123	21.77564516067006	21.761268748317782	21.481001875693615	22.081337454054935	22.00082506607633	22.20102708087695	22.242562590230516	22.29316096825929	22.106243553681676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_18:1_16:1_18:1) | CL(18:2_18:1_16:1_18:1)-H | 1425.9806	CL(18:2_18:1_16:1_18:1)	CL(18:2_18:1_16:1_18:1)-H	CL	1425.980605	24.92254746458807	24.584211429609685	25.012838949886294	24.046847728777436	24.337529953693934	24.346566614601095	24.67036750418391	24.24213460088119	24.52966639282467	24.32415358115483	24.872641216517675	24.358627449960313	24.527430848746928	23.464134481657226	24.513034529275497	24.95685619298431	24.52359898731457	24.146707732010352	22.925493605292267	24.493368907421974	24.638149061795218	24.213597359307137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_18:1_18:1_18:2) | CL(18:2_18:1_18:1_18:2)-H | 1451.9963	CL(18:2_18:1_18:1_18:2)	CL(18:2_18:1_18:1_18:2)-H	CL	1451.996255	23.319883054547738	27.131515756727293	27.319170155723494	26.81943716161255	26.997626727189367	26.591996518648415	26.659520081524597	27.066562973856886	26.623448493532432	27.14177677972208	26.71203458976779	26.204354134483815	25.75685682772221	24.29796156035021	25.442645172761473	25.971729447088222	25.475451162753693	25.630959676108013	25.69537366738529	26.610826441962217	25.611837757561535	24.9576991048724	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.601019221493324	22.782451347405573	23.78052727054231	21.708670362765996	22.385702994504403	22.292845289714197	22.274693388379067	22.349179803441917	20.88485946030407	20.547984034643243	20.05307272931543	23.09727552981197
CL(18:2_18:1_18:1_18:2)-H | CL(18:2_18:1_18:1_18:2)-H | 1451.9963	CL(18:2_18:1_18:1_18:2)-H	CL(18:2_18:1_18:1_18:2)-H	CL	1451.996255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	19.04550592792153	26.60841752595046	26.242805024345607	26.687527052602242	27.430255401526246	27.991099943045267	27.088535509345046	27.156128837081962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_18:1_18:1_22:6) | CL(18:2_18:1_18:1_22:6)-H | 1499.9963	CL(18:2_18:1_18:1_22:6)	CL(18:2_18:1_18:1_22:6)-H	CL	1499.996255	24.542275397152018	24.685140334584965	24.76369899374369	23.694546007871445	24.534421994054842	24.57185891666577	24.522560914555534	24.542529520552538	24.87296812589031	24.525787433365306	24.77792256245137	24.303132339998616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_18:1_18:2_18:2) | CL(18:2_18:1_18:2_18:2)-H | 1449.9806	CL(18:2_18:1_18:2_18:2)	CL(18:2_18:1_18:2_18:2)-H	CL	1449.980605	26.449165949457843	27.107470282925558	26.840002322418954	26.910345657066824	26.481514684134094	26.88798134363809	26.997688814575284	26.79785982003774	26.727237595493573	27.14177677972208	26.50662050561498	24.920725820688894	26.301871106110983	25.026659510795838	25.92807199089299	25.460675053714645	24.38451616454471	25.439573315321436	26.276715843621577	26.6048771756892	25.41893977891187	25.45123856500263	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.078318122457812	24.077383916385415	24.81571664773815	23.102179876105353	23.511415806589085	23.329350084283238	23.210523256866484	23.19754074011883	21.97815357879423	21.822479387469443	21.60716611343792	24.292080744159136
CL(18:2_18:1_18:2_18:2)-H | CL(18:2_18:1_18:2_18:2)-H | 1449.9806	CL(18:2_18:1_18:2_18:2)-H	CL(18:2_18:1_18:2_18:2)-H	CL	1449.9806045300002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.85011564508708	22.382990818811436	26.931444288034744	27.037582412599594	27.186286907938698	26.775445935627804	28.30023739124533	27.723225125548215	27.62991590154001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_18:1_18:2_20:3) | CL(18:2_18:1_18:2_20:3)-H | 1475.9963	CL(18:2_18:1_18:2_20:3)	CL(18:2_18:1_18:2_20:3)-H	CL	1475.996255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.553764966190908	24.392241504024856	25.25000009933844	25.147943111007045	25.096939548777247	25.181228432388405	25.640091232921286	26.30072378584731	25.490003419381008	25.095633988033246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
