batch	sample_id	group	CL	PA	PC	PE	PG	MLCL	oxCL	z_CL	z_PG	z_MLCL	z_oxCL	z_PA	z_PC	z_PE	CL_PG_ratio	MLCL_CL_ratio	oxCL_CL_ratio	sum_CL	sum_PG	sum_MLCL	sum_oxCL	PA_CL_mismatch	PA_PG_mismatch	sum_PA	PG_PA_ratio	CL_fraction	mito_lipid_mass	Membrane context_score	Oxidation_score	Remodeling_score	Supply_score	Synthesis_score	Transport_score
batch2	WT_2	WT	458332148.0930891	210362107.22399718	669742927765.3152	122194352825.87807	24597011931.97764	800600613.0021658	0	-0.4162604943495308	1.752039944712954	0.8847204361660905	NA	0.7759832054092148	1.7789880950414088	0.27417415238033394	0.018633651492327364	1.7467694909316303	0	458332148.0930891	24597011931.97764	800600613.0021658	0	1.1922436997587456	-0.9760567393037392	210362107.22399718	116.92700865458777	5.784132833707263e-4	792395612739.2864	-0.38655951659101306	-0.362490769366853	0.29950995545247205	-0.19773260695172723	0.6782644337348646	-0.14324755306329756
batch2	WT_3	WT	459738946.46966803	208342199.21424964	617037957301.6505	118823929189.35101	22167397529.121044	684304172.1388319	0	-0.38285591532916097	0.7253578608198664	-0.5313632094940024	NA	0.6322386368949908	0.5194075557396681	-0.11575017666697415	0.020739419043923152	1.4884624793996648	0	459738946.46966803	22167397529.121044	684304172.1388319	0	1.0150945522241517	-0.0931192239248756	208342199.21424964	106.39898020047826	6.24372462504443e-4	736321625437.4712	0.006495063332273843	-0.09439379899538751	-0.2520988648111946	-0.10827071272543597	0.41202976112762696	0.12271327829230949
batch2	WT_5	WT	522722152.0062132	197647152.24555635	598493584511.4259	127558136844.44992	20840909346.39224	691465454.8306402	0	1.1126870859487332	0.1648237900214934	-0.44416384873509773	NA	-0.12886281145578204	0.0762210616645606	0.8947103549899835	0.025081542427835637	1.3228164373305942	0	522722152.0062132	20840909346.39224	691465454.8306402	0	-1.2415498974045152	-0.29368660147727543	197647152.24555635	105.44502720939558	7.194337162239351e-4	726574443507.8821	-0.406448608559982	0.2153193155433028	-0.3480896657761554	0.08299518563177355	-0.15488844016301215	-0.26256675436821153
batch3	HO_5	HO	2031177771.598596	1315258358.8061833	657657561105.7117	135891838092.44724	14022983706.540188	634012560.3546256	0	-0.8499436641348945	-0.682232680934319	1.2984908346503494	NA	0.3703174149700207	-0.0220986773859088	-1.1188494422900581	0.14484633328435473	0.3121403597557289	0	2031177771.598596	14022983706.540188	634012560.3546256	0	1.2202610791049153	1.0525500959043397	1315258358.8061833	10.661771212211407	0.002553076118744673	795580576969.7576	0.4173914557886243	-0.2379530627317161	0.5880724004142804	-0.20494152545514926	-0.018469216541995265	0.46492778381242783
batch3	HO_6	HO	2361700760.5212827	1272313621.893006	628498220344.0543	149287007018.53638	14479606660.9128	553023799.5071177	0	0.971530876138201	-0.12645974880559574	-1.5896724246723348	NA	0.17312423439376268	-0.9330599949454644	1.76873630084847	0.163105311893355	0.23416336597404172	0	2361700760.5212827	14479606660.9128	553023799.5071177	0	-0.7984066417444383	0.2995839831993584	1272313621.893006	11.380532607494512	0.0030272512463813636	780146928123.1119	-0.19191068646508913	0.3347947777056366	-0.6428062807840773	0.05062796835570335	-0.2515468076261313	0.047341687148669515
batch3	HO_7	HO	2366907441.8330812	1352439269.871769	653948820082.9843	138342011452.85666	15479487802.631422	567620533.2517117	0	1.0002243037260026	1.0905331084122392	-1.0691341466928759	NA	0.5410443220778414	-0.13796273741957996	-0.5906675505368113	0.15290605684192735	0.23981526409503823	0	2366907441.8330812	15479487802.631422	567620533.2517117	0	-0.4591799816481612	-0.5494887863343978	1352439269.871769	11.445606577291345	0.00297852437060275	794657738977.6741	-0.3325480238107049	0.20523417094366608	-0.5604215662006949	0.09273278462162979	0.11974807884965277	-0.1620747076141721
batch3	HO_8	HO	2064938825.7126966	1316957410.583603	614865286802.6848	137919411952.27383	13654688466.195263	577271525.9512957	0	-0.6638903408182503	-1.1304986379026638	-0.7249673482476852	NA	0.378119102628056	-1.358963831474516	-0.6817669834498014	0.15122562706757017	0.27955865750747133	0	2064938825.7126966	13654688466.195263	577271525.9512957	0	1.0420094434463063	1.5086177405307197	1316957410.583603	10.368359945781586	0.0027355631147031123	754849637580.6713	0.7300126318365818	-0.011037345401848255	-0.07061381050579955	-0.18845331801851808	-0.1465783859917755	0.5983865347193078
batch3	WT_1	WT	2403790459.7397265	715575813.7252897	638986907941.495	145396402123.73608	13370677477.213387	612802246.5285115	0	1.2034824138634055	-1.4761790698470276	0.542103794396336	NA	-2.3832984388106913	-0.6053849370168896	0.9300417469836451	0.1797807526085586	0.2549316410028782	0	2403790459.7397265	13370677477.213387	612802246.5285115	0	-3.5867808526740967	-0.9071193689636636	715575813.7252897	18.685200394917768	0.0030551981064964547	786787100524.9708	-0.34654638211803973	0.39590917397574926	0.05455474928394555	0.26551317424408194	-0.8528807637762934	-0.7953212502981537
batch3	WT_2	WT	2227462241.3017545	1228097871.5459251	672420498441.6411	137054390574.30415	15336170164.85253	609490049.6697974	0	0.23175768856265955	0.9160958336073026	0.4239865991845951	NA	-0.029905171983420322	0.4391073888455783	-0.868238943028482	0.14524240520013645	0.2736253115175611	0	2227462241.3017545	15336170164.85253	609490049.6697974	0	-0.26166286054607985	-0.946001005590723	1228097871.5459251	12.487742646721971	0.0027441860157872335	811702351257.2471	-0.17952137595298162	-0.04059128365365698	0.015090354260026334	0.12015393863346865	0.22601096898387907	-0.3264141815314364
batch3	WT_3	WT	2112899801.4548316	1258943151.4690557	712159364002.626	142950992552.59476	15279370039.25627	615975130.261158	0	-0.39958286700017637	0.8469622693709475	0.6552529045547998	NA	0.1117298522595793	1.6805815917657703	0.40288678143414924	0.13828448398240886	0.2915306868016315	0	2112899801.4548316	15279370039.25627	615975130.261158	0	0.5113127192597556	-0.7352324171113682	1258943151.4690557	12.13666401173622	0.002464818570642805	857223256356.6755	-0.3933912003375525	-0.19953849891288897	0.20745484577735193	0.0494878459541973	0.3624788692005034	-0.18269351927803237
batch3	WT_4	WT	1914384439.9403315	1417299468.6457267	688382756376.1967	141814333417.6142	15045063448.894144	610610401.5573186	0	-1.4935784103369578	0.5617789260991168	0.4639397868268156	NA	0.8388686844648544	0.9377811976310177	0.15785809003889187	0.12724336101627037	0.31895913319079755	0	1914384439.9403315	15045063448.894144	610610401.5573186	0	2.3324470948018123	0.27708975836573757	1417299468.6457267	10.615303104057581	0.002300634589497988	832111474233.7511	0.29651358105916426	-0.4468179319249417	0.4086693077549669	-0.1851208683354144	0.5612372569021621	0.3558476530413894
batch4	HO_10	HO	2662946494.176437	0	0	0	0	4934816.875178947	0	0.6888081061636395	NA	-0.15959890778767086	NA	NA	NA	NA	Inf	0.0018531415805653003	0	2662946494.176437	0	4934816.875178947	0	NA	NA	0	NA	1	2662946494.176437	-0.6888081061636395	0.13604104922821453	-0.26663480899394193	0.13604104922821453	-0.10418150192680262	NA
batch4	HO_6	HO	1726847108.6580925	0	0	0	0	9028303.697975079	0	-1.0309305492068201	NA	1.5573105795147	NA	NA	NA	NA	Inf	0.005228200952307144	0	1726847108.6580925	0	9028303.697975079	0	NA	NA	0	NA	1	1726847108.6580925	1.0309305492068201	-0.6550726040628785	1.4811153183168058	-0.6550726040628785	-0.0698036647297342	NA
batch4	HO_7	HO	2077143308.0655265	0	0	0	0	3597968.8987510256	0	-0.3873899975625657	NA	-0.7203059707805508	NA	NA	NA	NA	Inf	0.0017321717210267336	0	2077143308.0655265	0	3597968.8987510256	0	NA	NA	0	NA	1	2077143308.0655265	0.3873899975625657	0.16439637486157527	-0.45407045079776315	0.16439637486157527	0.17904568682142907	NA
batch4	WT_1	WT	2367315625.6312513	0	0	0	0	2432505.9898897056	0	0.14569501344819144	NA	-1.2091299030281701	NA	NA	NA	NA	Inf	0.0010275376732838788	0	2367315625.6312513	0	2432505.9898897056	0	NA	NA	0	NA	1	2367315625.6312513	-0.14569501344819144	0.3295625406512593	-0.8515533768424748	0.3295625406512593	0.12835751696358177	NA
batch4	WT_3	WT	3300522936.1723804	0	0	0	0	7783250.744603961	0	1.8601205437279933	NA	1.0351046166342448	NA	NA	NA	NA	Inf	0.0023581871403778832	0	3300522936.1723804	0	7783250.744603961	0	NA	NA	0	NA	1	3300522936.1723804	-1.8601205437279933	0.017658409430214857	0.22934547177486977	0.017658409430214857	-0.45620093121689087	NA
batch4	WT_4	WT	1990690092.6013467	0	0	0	0	5741211.328209205	0	-0.5462160141318368	NA	0.17862284468152181	NA	NA	NA	NA	Inf	0.0028840306934500492	0	1990690092.6013467	0	5741211.328209205	0	NA	NA	0	NA	1	1990690092.6013467	0.5462160141318368	-0.10559927836441328	0.2206545084444026	-0.10559927836441328	0.08375436435075256	NA
batch4	WT_5	WT	1890604179.988378	0	0	0	0	3689290.9201810616	0	-0.730087102438602	NA	-0.6820032592340751	NA	NA	NA	NA	Inf	0.0019513819757892106	0	1890604179.988378	0	3689290.9201810616	0	NA	NA	0	NA	1	1890604179.988378	0.730087102438602	0.11301350825602766	-0.35885666190189824	0.11301350825602766	0.2390285297376643	NA
