batch	indicator	mean_HO	mean_WT	diff_HO_WT	p_value	FDR
batch4	MLCL_CL_ratio	0.0029378380846330565	0.00205528437072525	8.825537139078065e-4	0.5289488045022733	0.8243434725620297
batch4	PA	0	0	0	NA	NA
batch4	PC	0	0	0	NA	NA
batch4	PE	0	0	0	NA	NA
batch4	PG	0	0	0	NA	NA
batch4	PG_PA_ratio	NA	NA	NA	NA	NA
batch4	mito_lipid_mass	2155645636.9666853	2387283208.598339	-231637571.6316538	0.606402400829398	0.8243434725620297
batch4	oxCL	0	0	0	NA	NA
batch4	oxCL_CL_ratio	0	0	0	NA	NA
batch4	sum_CL	2155645636.9666853	2387283208.598339	-231637571.6316538	0.606402400829398	0.8243434725620297
batch4	sum_MLCL	5853696.490635018	4911564.7457209835	942131.7449140344	0.6645779148588706	0.8243434725620297
batch4	sum_PG	0	0	0	NA	NA
batch4	sum_oxCL	0	0	0	NA	NA
