Class	global_sample_id	group	sum_intensity	mean_intensity	log2_mean_intensity
LPE	batch2_QC_2	NA	1200953609.8571582	70644329.99159755	26.074070436783966
LPE	batch2_QC_3	NA	1240245599.1837003	72955623.48139413	26.120515850799336
LPE	batch2_WT_1	WT	1161084240.7133017	68299072.9831354	26.02536266129633
LPE	batch2_WT_2	WT	860847765.5212973	50638103.85419396	25.593720048216227
LPE	batch2_WT_3	WT	995985482.6567675	58587381.332751036	25.80408663177675
LPE	batch2_WT_5	WT	1027954629.9205029	60467919.40708841	25.849666603500083
LPE	batch3_HO_5	HO	395529846.30841744	30425372.792955186	24.858771604167934
LPE	batch3_HO_6	HO	413625693.4535812	31817361.034890864	24.92331084621118
LPE	batch3_HO_7	HO	430574510.3738423	33121116.182603255	24.981247956733974
LPE	batch3_HO_8	HO	395525125.77867687	30425009.675282836	24.858754385933835
LPE	batch3_QC_0	NA	359141905.50992113	27626300.42384009	24.71953904078329
LPE	batch3_QC_1	NA	368330559.48785174	28333119.960603975	24.755986140048854
LPE	batch3_QC_2	NA	373887573.5481284	28760582.58062526	24.77758956382977
LPE	batch3_QC_3	NA	383136943.40969944	29472072.569976877	24.812845183149538
LPE	batch3_WT_1	WT	375229394.1977279	28863799.553671386	24.782757889072993
LPE	batch3_WT_2	WT	375751230.154956	28903940.781150453	24.784762868281263
LPE	batch3_WT_3	WT	372007406.7625439	28615954.366349537	24.7703163870041
LPE	batch3_WT_4	WT	374743579.16119343	28826429.166245636	24.780888800273985
LPG	batch1_HO_5	HO	21241283.380266383	10620641.690133192	23.3403675993938
LPG	batch1_HO_6	HO	10920825.174225008	5460412.587112504	22.38057853418616
LPG	batch1_HO_7	HO	17515696.94148761	8757848.470743805	23.062145057662782
LPG	batch1_HO_8	HO	3825260.613611862	1912630.306805931	20.867126610766096
LPG	batch1_QC_1	NA	15424804.081	7712402.0405	22.878748829232137
LPG	batch1_WT_1	WT	11310845.534478068	5655422.767239034	22.43120344524623
LPG	batch1_WT_2	WT	21478400.658623926	10739200.329311963	23.35638323445417
LPG	batch1_WT_3	WT	30036603.738051474	15018301.869025737	23.840218359644687
LPG	batch1_WT_4	WT	27356029.83194965	13678014.915974826	23.70535553195848
LPG	batch2_HO_10	HO	5575650.129966875	2787825.0649834373	21.41070860477815
LPG	batch2_HO_11	HO	5032213.1345842965	2516106.5672921482	21.262761596807458
LPG	batch2_HO_12	HO	8614726.133898567	4307363.066949284	22.038373502565605
LPG	batch2_HO_9	HO	3789122.7148301536	1894561.3574150768	20.85343243316471
LPG	batch2_QC_0	NA	6316586.518635305	3158293.2593176523	21.590713706361985
LPG	batch2_QC_1	NA	7521587.937386569	3760793.9686932843	21.842605841274082
LPG	batch2_QC_2	NA	7732153.857617079	3866076.9288085396	21.88243891450597
LPG	batch2_QC_3	NA	6717426.280933474	3358713.140466737	21.679477153078448
LPG	batch2_WT_1	WT	2180217.92844889	1090108.964224445	20.056040919271954
LPG	batch2_WT_2	WT	9278662.91082318	4639331.45541159	22.145485492036517
LPG	batch2_WT_3	WT	3659736.6100483416	1829868.3050241708	20.803308391317703
LPG	batch2_WT_5	WT	8085190.427513601	4042595.2137568006	21.9468503226888
LPG	batch3_HO_5	HO	18942382.6903982	6314127.563466067	22.590151976842716
LPG	batch3_HO_6	HO	17916423.07223155	5972141.024077184	22.50981680250193
LPG	batch3_HO_7	HO	17430460.454276577	5810153.4847588595	22.47014484461958
LPG	batch3_HO_8	HO	8449216.526518546	2816405.5088395155	21.425423638908384
LPG	batch3_QC_0	NA	22809772.37777581	7603257.459258603	22.858186213336914
LPG	batch3_QC_1	NA	19097208.16926576	6365736.056421919	22.601895908832724
LPG	batch3_QC_2	NA	20023400.04548674	6674466.681828914	22.670221133282695
LPG	batch3_QC_3	NA	18003599.76130189	6001199.920433963	22.51681956107593
LPG	batch3_WT_1	WT	18397332.972515095	6132444.324171699	22.548030800087552
LPG	batch3_WT_2	WT	17135503.65186803	5711834.550622677	22.4455227600967
LPG	batch3_WT_3	WT	22998137.766051933	7666045.922017312	22.870051209684057
LPG	batch3_WT_4	WT	10650669.823098442	3550223.274366147	21.75947832822122
LPI	batch1_HO_5	HO	1839264.221644722	919632.110822361	19.810697316000546
LPI	batch1_HO_6	HO	0	0	-19.931568569324174
LPI	batch1_HO_7	HO	6804367.311595851	3402183.6557979253	21.698029591618454
LPI	batch1_HO_8	HO	2584107.200290341	1292053.6001451705	20.301234490022484
LPI	batch1_QC_1	NA	6078032.016000001	3039016.0080000004	21.535172843593013
LPI	batch1_WT_1	WT	3657932.90096379	1828966.450481895	20.802597180678777
LPI	batch1_WT_2	WT	11685221.954221591	5842610.977110796	22.478181801774
LPI	batch1_WT_3	WT	9811764.91961518	4905882.45980759	22.22608123805812
LPI	batch1_WT_4	WT	10375284.011202272	5187642.005601136	22.306647493292576
LPI	batch3_HO_5	HO	7663306.754341183	3831653.3771705916	21.869535625791304
LPI	batch3_HO_6	HO	8927279.93486554	4463639.96743277	22.089789234899627
LPI	batch3_HO_7	HO	8504022.704206444	4252011.352103222	22.019714017934163
LPI	batch3_HO_8	HO	8697300.747282855	4348650.373641428	22.05213629181012
LPI	batch3_QC_0	NA	7378489.986771003	3689244.9933855017	21.81489416725027
LPI	batch3_QC_1	NA	8495187.919785216	4247593.959892608	22.018214430559038
LPI	batch3_QC_2	NA	7655292.207417219	3827646.103708609	21.86802601669637
LPI	batch3_QC_3	NA	8660692.182094943	4330346.091047471	22.046050902332997
LPI	batch3_WT_1	WT	3502219.998507955	1751109.9992539776	20.739838281533782
LPI	batch3_WT_2	WT	9401240.88125318	4700620.44062659	22.164419761761447
LPI	batch3_WT_3	WT	5153177.249396282	2576588.624698141	21.297030785806967
LPI	batch3_WT_4	WT	15526975.547181886	7763487.773590943	22.88827350307939
LPS	batch3_HO_5	HO	3123442.2992473436	3123442.2992473436	21.574705447920678
LPS	batch3_HO_6	HO	2000502.974584112	2000502.974584112	20.931931343179397
LPS	batch3_HO_7	HO	2835160.909563137	2835160.909563137	21.434999186975784
LPS	batch3_HO_8	HO	2118859.366372582	2118859.366372582	21.014856405185057
LPS	batch3_QC_0	NA	1952028.5515455443	1952028.5515455443	20.89654272410682
LPS	batch3_QC_1	NA	1774635.3901873415	1774635.3901873415	20.75909121377217
LPS	batch3_QC_2	NA	1960666.2653194708	1960666.2653194708	20.90291255750996
LPS	batch3_QC_3	NA	1908928.5225216555	1908928.5225216555	20.864331653138482
LPS	batch3_WT_1	WT	530512.7943589404	530512.7943589404	19.017028019426157
LPS	batch3_WT_2	WT	2139687.848394923	2139687.848394923	21.028968911549267
LPS	batch3_WT_3	WT	1860308.622395805	1860308.622395805	20.82711055144584
LPS	batch3_WT_4	WT	840152.1032168734	840152.1032168734	19.680291015058067
LSM	batch1_HO_5	HO	235036272.08205807	117518136.04102904	26.80830817765433
LSM	batch1_HO_6	HO	394567072.1823181	197283536.09115905	27.55569532291144
LSM	batch1_HO_7	HO	104841966.66202319	52420983.33101159	25.64364108070636
LSM	batch1_HO_8	HO	529133283.1154692	264566641.5577346	27.979055926939463
LSM	batch1_QC_1	NA	283752453.98	141876226.99	27.080057628434506
LSM	batch1_WT_1	WT	431471201.10603696	215735600.55301848	27.68468902787034
LSM	batch1_WT_2	WT	107607341.46505758	53803670.73252879	25.68120126760613
LSM	batch1_WT_3	WT	112593486.47847377	56296743.239236884	25.746548129172414
LSM	batch1_WT_4	WT	169288128.0510953	84644064.02554765	26.33490556161561
LSM	batch2_HO_10	HO	53680056.30671459	53680056.30671459	25.677882849039065
LSM	batch2_HO_11	HO	70501561.77581182	70501561.77581182	26.071151881173513
LSM	batch2_HO_12	HO	18945958.422414947	18945958.422414947	24.175386787763212
LSM	batch2_HO_9	HO	101225513.49144532	101225513.49144532	26.59299772055915
LSM	batch2_QC_0	NA	72931031.07148089	72931031.07148089	26.120029454723284
LSM	batch2_QC_1	NA	74566921.79859874	74566921.79859874	26.152032450987715
LSM	batch2_QC_2	NA	69224809.51756267	69224809.51756267	26.044785843017618
LSM	batch2_QC_3	NA	74854487.14145662	74854487.14145662	26.157585465233986
LSM	batch2_WT_1	WT	67884382.14816995	67884382.14816995	26.016576362553728
LSM	batch2_WT_2	WT	71777985.13169628	71777985.13169628	26.097038090272928
LSM	batch2_WT_3	WT	128577679.3318189	128577679.3318189	26.93806497631993
LSM	batch2_WT_5	WT	72996130.44513337	72996130.44513337	26.121316652374325
LSM	batch3_HO_5	HO	45083066.719632156	22541533.359816078	24.426082320598432
