feature_id	lipidName	LipidIon	Class	CalcMz	n_samples_total	n_non_na_global	detect_rate_global	min_detect_rate_group	var_log	pass_global	pass_group	pass_var	keep_feature
CL(18:2_18:2_18:2_20:3) | CL(18:2_18:2_18:2_20:3)-H | 1473.9806	CL(18:2_18:2_18:2_20:3)	CL(18:2_18:2_18:2_20:3)-H	CL	1473.980605	12	12	1	1	1.091638842386187	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:2_18:2_20:3)-H | CL(18:2_18:2_18:2_20:3)-H | 1473.9806	CL(18:2_18:2_18:2_20:3)-H	CL(18:2_18:2_18:2_20:3)-H	CL	1473.9806045300002	9	9	1	1	78.60791985091316	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:2_18:2_20:4) | CL(18:2_18:2_18:2_20:4)-H | 1471.9650	CL(18:2_18:2_18:2_20:4)	CL(18:2_18:2_18:2_20:4)-H	CL	1471.964955	24	24	1	1	1.7447297778504662	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:2_18:2_20:4)-H | CL(18:2_18:2_18:2_20:4)-H | 1471.9650	CL(18:2_18:2_18:2_20:4)-H	CL(18:2_18:2_18:2_20:4)-H	CL	1471.9649545300001	9	9	1	1	4.501403034413037	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:2_18:2_22:5)-H | CL(18:2_18:2_18:2_22:5)-H | 1497.9806	CL(18:2_18:2_18:2_22:5)-H	CL(18:2_18:2_18:2_22:5)-H	CL	1497.980605	9	9	1	1	120.49461283043009	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:2_20:4_20:4) | CL(18:2_18:2_20:4_20:4)-H | 1495.9650	CL(18:2_18:2_20:4_20:4)	CL(18:2_18:2_20:4_20:4)-H	CL	1495.964955	24	24	1	1	1.2488138469398884	TRUE	TRUE	TRUE	TRUE
CL(18:2_20:4_18:2_16:1) | CL(18:2_20:4_18:2_16:1)-H | 1445.9493	CL(18:2_20:4_18:2_16:1)	CL(18:2_20:4_18:2_16:1)-H	CL	1445.949305	12	12	1	1	0.6293721019089618	TRUE	TRUE	TRUE	TRUE
CL(18:2_20:4_18:2_20:4) | CL(18:2_20:4_18:2_20:4)-H | 1495.9650	CL(18:2_20:4_18:2_20:4)	CL(18:2_20:4_18:2_20:4)-H	CL	1495.964955	12	12	1	1	0.04433016938408456	TRUE	TRUE	TRUE	TRUE
CL(18:2_20:4_22:6_18:2) | CL(18:2_20:4_22:6_18:2)-H | 1519.9650	CL(18:2_20:4_22:6_18:2)	CL(18:2_20:4_22:6_18:2)-H	CL	1519.964955	12	12	1	1	0.11917201324323798	TRUE	TRUE	TRUE	TRUE
CL(18:3_20:4_18:2_18:2) | CL(18:3_20:4_18:2_18:2)-H | 1469.9493	CL(18:3_20:4_18:2_18:2)	CL(18:3_20:4_18:2_18:2)-H	CL	1469.949305	12	12	1	1	0.3107499461331597	TRUE	TRUE	TRUE	TRUE
CL(19:1_18:2_18:1_18:2) | CL(19:1_18:2_18:1_18:2)-H | 1466.0119	CL(19:1_18:2_18:1_18:2)	CL(19:1_18:2_18:1_18:2)-H	CL	1466.011905	12	12	1	1	1.7716009179751355	TRUE	TRUE	TRUE	TRUE
CL(19:1_18:2_18:2_18:2) | CL(19:1_18:2_18:2_18:2)-H | 1463.9963	CL(19:1_18:2_18:2_18:2)	CL(19:1_18:2_18:2_18:2)-H	CL	1463.996255	12	12	1	1	0.8628032768737826	TRUE	TRUE	TRUE	TRUE
CL(20:2_18:2_18:1_18:2)-H | CL(20:2_18:2_18:1_18:2)-H | 1478.0119	CL(20:2_18:2_18:1_18:2)-H	CL(20:2_18:2_18:1_18:2)-H	CL	1478.011905	9	9	1	1	133.6591326656311	TRUE	TRUE	TRUE	TRUE
CL(20:4_18:0_18:1_18:2) | CL(20:4_18:0_18:1_18:2)-H | 1478.0119	CL(20:4_18:0_18:1_18:2)	CL(20:4_18:0_18:1_18:2)-H	CL	1478.011905	12	12	1	1	0.03435730337319254	TRUE	TRUE	TRUE	TRUE
CL(20:4_18:1_18:2_20:3)-H | CL(20:4_18:1_18:2_20:3)-H | 1499.9963	CL(20:4_18:1_18:2_20:3)-H	CL(20:4_18:1_18:2_20:3)-H	CL	1499.996255	9	9	1	1	71.89735709534511	TRUE	TRUE	TRUE	TRUE
CL(20:5_18:2_16:1_18:2) | CL(20:5_18:2_16:1_18:2)-H | 1443.9337	CL(20:5_18:2_16:1_18:2)	CL(20:5_18:2_16:1_18:2)-H	CL	1443.933655	12	12	1	1	0.03694709711446397	TRUE	TRUE	TRUE	TRUE
CL(20:5_18:2_18:2_18:2) | CL(20:5_18:2_18:2_18:2)-H | 1469.9493	CL(20:5_18:2_18:2_18:2)	CL(20:5_18:2_18:2_18:2)-H	CL	1469.949305	12	12	1	1	59.11738856655708	TRUE	TRUE	TRUE	TRUE
CL(20:5_18:2_18:2_18:2)-H | CL(20:5_18:2_18:2_18:2)-H | 1469.9493	CL(20:5_18:2_18:2_18:2)-H	CL(20:5_18:2_18:2_18:2)-H	CL	1469.949305	9	9	1	1	112.9591027635547	TRUE	TRUE	TRUE	TRUE
CL(20:5_18:2_18:2_20:4) | CL(20:5_18:2_18:2_20:4)-H | 1493.9493	CL(20:5_18:2_18:2_20:4)	CL(20:5_18:2_18:2_20:4)-H	CL	1493.949305	12	12	1	1	0.05417608892255266	TRUE	TRUE	TRUE	TRUE
CL(21:0_22:5_18:0_18:1) | CL(21:0_22:5_18:0_18:1)-2H | 774.5493	CL(21:0_22:5_18:0_18:1)	CL(21:0_22:5_18:0_18:1)-2H	CL	774.549264	12	12	1	1	0.01260418016096458	TRUE	TRUE	TRUE	TRUE
CL(21:0_22:6_16:0_18:1) | CL(21:0_22:6_16:0_18:1)-H | 1520.0589	CL(21:0_22:6_16:0_18:1)	CL(21:0_22:6_16:0_18:1)-H	CL	1520.058855	12	12	1	1	0.02383396953828547	TRUE	TRUE	TRUE	TRUE
CL(21:1_22:5_18:1_18:1) | CL(21:1_22:5_18:1_18:1)-2H | 772.5336	CL(21:1_22:5_18:1_18:1)	CL(21:1_22:5_18:1_18:1)-2H	CL	772.53361399999994	12	12	1	1	0.01184601258915802	TRUE	TRUE	TRUE	TRUE
CL(23:0_22:5_18:0_18:1)-H | CL(23:0_22:5_18:0_18:1)-H | 1578.1371	CL(23:0_22:5_18:0_18:1)-H	CL(23:0_22:5_18:0_18:1)-H	CL	1578.137105	9	9	1	1	0.06301390919307276	TRUE	TRUE	TRUE	TRUE
CL(24:0_16:0_18:0_14:0)-2H | CL(24:0_16:0_18:0_14:0)-2H | 731.5414	CL(24:0_16:0_18:0_14:0)-2H	CL(24:0_16:0_18:0_14:0)-2H	CL	731.5414390299999	9	9	1	1	0.05264667406734472	TRUE	TRUE	TRUE	TRUE
CL(24:0_18:2_18:1_18:1)-2H | CL(24:0_18:2_18:1_18:1)-2H | 769.5571	CL(24:0_18:2_18:1_18:1)-2H	CL(24:0_18:2_18:1_18:1)-2H	CL	769.5570890299999	9	9	1	1	0.4273111788439396	TRUE	TRUE	TRUE	TRUE
CL(66:1)-2H | CL(66:1)-2H | 688.4867	CL(66:1)-2H	CL(66:1)-2H	CL	688.4866640299999	9	9	1	1	0.03659216297114996	TRUE	TRUE	TRUE	TRUE
CL(66:3)-2H | CL(66:3)-2H | 686.4710	CL(66:3)-2H	CL(66:3)-2H	CL	686.4710140299999	9	9	1	1	0.02867866000139056	TRUE	TRUE	TRUE	TRUE
CL(67:0) | CL(67:0)-2H | 696.5023	CL(67:0)	CL(67:0)-2H	CL	696.502314	12	12	1	1	0.04028089665668797	TRUE	TRUE	TRUE	TRUE
CL(69:6) | CL(69:6)-H | 1409.9493	CL(69:6)	CL(69:6)-H	CL	1409.949305	12	12	1	1	0.23411760163331705	TRUE	TRUE	TRUE	TRUE
CL(70:2)-2H | CL(70:2)-2H | 715.5101	CL(70:2)-2H	CL(70:2)-2H	CL	715.5101390299999	9	9	1	1	0.0128363372507624	TRUE	TRUE	TRUE	TRUE
CL(70:3)-2H | CL(70:3)-2H | 714.5023	CL(70:3)-2H	CL(70:3)-2H	CL	714.5023140299999	9	9	1	1	0.02053909676775393	TRUE	TRUE	TRUE	TRUE
CL(70:5) | CL(70:5)+Na | 1449.9771	CL(70:5)	CL(70:5)+Na	CL	1449.977102	12	12	1	1	0.34658367964230835	TRUE	TRUE	TRUE	TRUE
CL(70:6) | CL(70:6)+H | 1425.9795	CL(70:6)	CL(70:6)+H	CL	1425.979507	12	12	1	1	0.06861196814055154	TRUE	TRUE	TRUE	TRUE
CL(70:7)-2H | CL(70:7)-2H | 710.4710	CL(70:7)-2H	CL(70:7)-2H	CL	710.4710140299999	9	9	1	1	0.03974225433147187	TRUE	TRUE	TRUE	TRUE
CL(71:0) | CL(71:0)-2H | 724.5336	CL(71:0)	CL(71:0)-2H	CL	724.53361399999994	12	12	1	1	0.01423395903289119	TRUE	TRUE	TRUE	TRUE
CL(71:4) | CL(71:4)-2H | 720.5023	CL(71:4)	CL(71:4)-2H	CL	720.502314	12	12	1	1	0.00398939859547589	TRUE	TRUE	FALSE	FALSE
CL(71:6) | CL(71:6)-2H | 718.4867	CL(71:6)	CL(71:6)-2H	CL	718.486664	12	12	1	1	0.0975891880631758	TRUE	TRUE	TRUE	TRUE
CL(72:1) | CL(72:1)-H | 1462.0745	CL(72:1)	CL(72:1)-H	CL	1462.074505	24	24	1	1	20.05555282256833	TRUE	TRUE	TRUE	TRUE
CL(72:1)-2H | CL(72:1)-2H | 730.5336	CL(72:1)-2H	CL(72:1)-2H	CL	730.5336140299999	9	9	1	1	0.06607818493950901	TRUE	TRUE	TRUE	TRUE
CL(72:3)-2H | CL(72:3)-2H | 728.5180	CL(72:3)-2H	CL(72:3)-2H	CL	728.5179640299999	9	9	1	1	0.28082712127212245	TRUE	TRUE	TRUE	TRUE
CL(72:5) | CL(72:5)+Na | 1478.0084	CL(72:5)	CL(72:5)+Na	CL	1478.008402	12	12	1	1	0.03605082938728764	TRUE	TRUE	TRUE	TRUE
