batch	lipidName	LipidIon	CalcMz	n_qc_total	n_qc_non_na	qc_mean	qc_sd	qc_cv	qc_missing_prop	qc_sn_median	qc_rt_mean	qc_rt_sd	qc_height_mean	n_samples_total	n_samples_non_na	detect_rate	pass_n_qc	pass_mean	pass_cv	pass_sn	pass_rt	keep_for_correction
batch1	CL(75:2)-H	CL(75:2)-H	1502.105805	1	1	8677289.177	NA	NA	0	0.787406577	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(75:3)-H	CL(75:3)-H	1500.090155	1	1	11448052.63	NA	NA	0	0.42833051194552374	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(75:5)-H	CL(75:5)-H	1496.058855	1	1	22338226.55	NA	NA	0	2.629386754	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(75:6)-H	CL(75:6)-H	1494.043205	1	1	7883029.063	NA	NA	0	1409842.05	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(76:4)-H	CL(76:4)-H	1512.090155	1	1	7880105.483	NA	NA	0	8.438999412868405	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(76:7)-2H	CL(76:7)-2H	752.5179640299999	1	1	29630401.21	NA	NA	0	5882779	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(77:3)-H	CL(77:3)-H	1528.1214545300002	1	1	22276379.24	NA	NA	0	1.6292876512796932	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(77:6)-H	CL(77:6)-H	1522.074505	1	1	20368431.72	NA	NA	0	3.5535437972214012	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(77:7)-H	CL(77:7)-H	1520.058855	1	1	5053270.784	NA	NA	0	778753.54	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(78:0)-2H	CL(78:0)-2H	773.5883890299999	1	1	9782130.335	NA	NA	0	3268928.25	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(78:2)-2H	CL(78:2)-2H	771.5727390299999	1	1	78473878.96	NA	NA	0	27.336431912700174	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(78:3)-2H	CL(78:3)-2H	770.5649140299998	1	1	155857264.3	NA	NA	0	11948891	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(78:5)-2H	CL(78:5)-2H	768.5492640299999	1	1	43820804.03	NA	NA	0	32.85253377011668	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(78:6)-2H	CL(78:6)-2H	767.5414390299999	1	1	111766821.7	NA	NA	0	38.15526586861294	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(78:6)-H	CL(78:6)-H	1536.090155	1	1	48155557.28	NA	NA	0	20.894763797636873	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(78:7)-2H	CL(78:7)-2H	766.5336140299999	1	1	379877776.7	NA	NA	0	10.686165776407044	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(78:7)-H	CL(78:7)-H	1534.074505	1	1	87688523.42	NA	NA	0	63.962145384920056	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(79:3)-H	CL(79:3)-H	1556.152755	1	1	16614851.89	NA	NA	0	22.018570958510733	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(79:4)-H	CL(79:4)-H	1554.137105	1	1	47726365.06	NA	NA	0	5041170	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(79:5)-H	CL(79:5)-H	1552.1214545300002	1	1	18021801	NA	NA	0	5.969076824995585	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(79:9)-H	CL(79:9)-H	1544.058855	1	1	9399106.599	NA	NA	0	2.075354841909535	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(80:10)-H	CL(80:10)-H	1556.058855	1	1	13614007.79	NA	NA	0	2.5272465403212117	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(80:5)-2H	CL(80:5)-2H	782.5649140299998	1	1	20290084.88	NA	NA	0	3.463579341795088	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(80:7)-2H	CL(80:7)-2H	780.5492640299999	1	1	38082581.78	NA	NA	0	3.9353210612351863	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(80:9)-H	CL(80:9)-H	1558.074505	1	1	10083838.19	NA	NA	0	5.273301595275181	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(81:10)-H	CL(81:10)-H	1570.074505	1	1	6293573.091	NA	NA	0	5.245227978037304	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(81:4)-H	CL(81:4)-H	1582.168405	1	1	13705980.96	NA	NA	0	1.8838462851430104	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(81:6)-H	CL(81:6)-H	1578.137105	1	1	14807581.88	NA	NA	0	1211356.88	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(81:7)-H	CL(81:7)-H	1576.1214545300002	1	1	17225894.37	NA	NA	0	4.567837896450529	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(82:1)-2H	CL(82:1)-2H	800.6118640299999	1	1	7654238.352	NA	NA	0	17.058172657050534	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(82:10)-2H	CL(82:10)-2H	791.5414390299999	1	1	45005528.18	NA	NA	0	3.784056514608898	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(82:11)-2H	CL(82:11)-2H	790.5336140299999	1	1	1009910145	NA	NA	0	78.46538733665959	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(82:12)-2H	CL(82:12)-2H	789.5257890299998	1	1	129489141.8	NA	NA	0	18.713627757452823	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
