feature_id	lipidName	LipidIon	Class	CalcMz	n_samples_total	n_non_na_global	detect_rate_global	min_detect_rate_group	var_log	pass_global	pass_group	pass_var	keep_feature	n_batches_qc	any_keep_for_corr	qc_mean_median	qc_cv_median	qc_sn_median_median	qc_rt_sd_median
CL(20:4_18:1_18:2_20:3)-H | CL(20:4_18:1_18:2_20:3)-H | 1499.9963	CL(20:4_18:1_18:2_20:3)-H	CL(20:4_18:1_18:2_20:3)-H	CL	1499.996255	9	9	1	1	71.89735709534511	TRUE	TRUE	TRUE	TRUE	1	FALSE	31194082.82	NA	3.579353743	NA
CL(20:5_18:2_16:1_18:2) | CL(20:5_18:2_16:1_18:2)-H | 1443.9337	CL(20:5_18:2_16:1_18:2)	CL(20:5_18:2_16:1_18:2)-H	CL	1443.933655	12	12	1	1	0.03694709711446397	TRUE	TRUE	TRUE	TRUE	1	FALSE	2437838.6195	0.04898509350035274	1.936925671	0.00984462628374785
CL(20:5_18:2_18:2_18:2) | CL(20:5_18:2_18:2_18:2)-H | 1469.9493	CL(20:5_18:2_18:2_18:2)	CL(20:5_18:2_18:2_18:2)-H	CL	1469.949305	12	12	1	1	59.11738856655708	TRUE	TRUE	TRUE	TRUE	1	TRUE	935076.925	0.11698706776443404	51378.7966830675	NA
CL(20:5_18:2_18:2_18:2)-H | CL(20:5_18:2_18:2_18:2)-H | 1469.9493	CL(20:5_18:2_18:2_18:2)-H	CL(20:5_18:2_18:2_18:2)-H	CL	1469.949305	9	9	1	1	112.9591027635547	TRUE	TRUE	TRUE	TRUE	1	FALSE	14740192.1	NA	1499658.75	NA
CL(20:5_18:2_18:2_20:4) | CL(20:5_18:2_18:2_20:4)-H | 1493.9493	CL(20:5_18:2_18:2_20:4)	CL(20:5_18:2_18:2_20:4)-H	CL	1493.949305	12	12	1	1	0.05417608892255266	TRUE	TRUE	TRUE	TRUE	1	FALSE	2607958.66875	0.08777964725923838	7.140658975	0.02155612828563351
CL(21:0_22:5_18:0_18:1) | CL(21:0_22:5_18:0_18:1)-2H | 774.5493	CL(21:0_22:5_18:0_18:1)	CL(21:0_22:5_18:0_18:1)-2H	CL	774.549264	12	12	1	1	0.01260418016096458	TRUE	TRUE	TRUE	TRUE	1	TRUE	121250000	0.04171543891544609	11.967534665	0.01828250529878306
CL(21:0_22:6_16:0_18:1) | CL(21:0_22:6_16:0_18:1)-H | 1520.0589	CL(21:0_22:6_16:0_18:1)	CL(21:0_22:6_16:0_18:1)-H	CL	1520.058855	12	12	1	1	0.02383396953828547	TRUE	TRUE	TRUE	TRUE	1	TRUE	5320914.728	0.11184792317686398	10.7734826605	0.00892094912738159
CL(21:1_22:5_18:1_18:1) | CL(21:1_22:5_18:1_18:1)-2H | 772.5336	CL(21:1_22:5_18:1_18:1)	CL(21:1_22:5_18:1_18:1)-2H	CL	772.53361399999994	12	12	1	1	0.01184601258915802	TRUE	TRUE	TRUE	TRUE	1	TRUE	59600000	0.03915787710115055	22.723430305999997	0.00419324854180287
CL(23:0_22:5_18:0_18:1)-H | CL(23:0_22:5_18:0_18:1)-H | 1578.1371	CL(23:0_22:5_18:0_18:1)-H	CL(23:0_22:5_18:0_18:1)-H	CL	1578.137105	9	9	1	1	0.06301390919307276	TRUE	TRUE	TRUE	TRUE	1	FALSE	17832669.22	NA	0.6278255605189113	NA
CL(24:0_16:0_18:0_14:0)-2H | CL(24:0_16:0_18:0_14:0)-2H | 731.5414	CL(24:0_16:0_18:0_14:0)-2H	CL(24:0_16:0_18:0_14:0)-2H	CL	731.5414390299999	9	9	1	1	0.05264667406734472	TRUE	TRUE	TRUE	TRUE	1	FALSE	14447028.24	NA	1041879.19	NA
CL(24:0_18:2_18:1_18:1)-2H | CL(24:0_18:2_18:1_18:1)-2H | 769.5571	CL(24:0_18:2_18:1_18:1)-2H	CL(24:0_18:2_18:1_18:1)-2H	CL	769.5570890299999	9	9	1	1	0.4273111788439396	TRUE	TRUE	TRUE	TRUE	1	FALSE	67464135.35	NA	14.275872068545723	NA
