feature_id	lipidName	LipidIon	Class	CalcMz	n_samples_total	n_non_na_global	detect_rate_global	min_detect_rate_group	var_log	pass_global	pass_group	pass_var	keep_feature	n_batches_qc	any_keep_for_corr	qc_mean_median	qc_cv_median	qc_sn_median_median	qc_rt_sd_median
CL(18:2_18:2_18:2_20:4) | CL(18:2_18:2_18:2_20:4)-H | 1471.9650	CL(18:2_18:2_18:2_20:4)	CL(18:2_18:2_18:2_20:4)-H	CL	1471.964955	34	34	1	1	1.3747646822123158	TRUE	TRUE	TRUE	TRUE	3	TRUE	19625000	0.10115069532642894	25.7982922	0.026862765804901715
CL(18:2_18:2_18:2_20:4)-H | CL(18:2_18:2_18:2_20:4)-H | 1471.9650	CL(18:2_18:2_18:2_20:4)-H	CL(18:2_18:2_18:2_20:4)-H	CL	1471.9649545300001	9	9	1	1	4.501403034413037	TRUE	TRUE	TRUE	TRUE	1	FALSE	34381372.58	NA	3248145.75	NA
CL(18:2_18:2_18:2_22:5)-H | CL(18:2_18:2_18:2_22:5)-H | 1497.9806	CL(18:2_18:2_18:2_22:5)-H	CL(18:2_18:2_18:2_22:5)-H	CL	1497.980605	9	9	1	1	120.49461283043009	TRUE	TRUE	TRUE	TRUE	1	FALSE	26389111.78	NA	0.7981863077239443	NA
CL(18:2_18:2_20:4_20:4) | CL(18:2_18:2_20:4_20:4)-H | 1495.9650	CL(18:2_18:2_20:4_20:4)	CL(18:2_18:2_20:4_20:4)-H	CL	1495.964955	24	24	1	1	1.2488138469398884	TRUE	TRUE	TRUE	TRUE	2	FALSE	2145946.3285	0.2047309002314093	5.739986793	0.01090489186863648
CL(18:2_20:3_20:4_18:1) | CL(18:2_20:3_20:4_18:1)-H | 1499.9963	CL(18:2_20:3_20:4_18:1)	CL(18:2_20:3_20:4_18:1)-H	CL	1499.996255	10	10	1	1	0.27493497227827807	TRUE	TRUE	TRUE	TRUE	1	TRUE	29033333.333333332	0.2438015204593285	39.96413529	0.00862167810425139
CL(18:2_20:4_18:2_16:1) | CL(18:2_20:4_18:2_16:1)-H | 1445.9493	CL(18:2_20:4_18:2_16:1)	CL(18:2_20:4_18:2_16:1)-H	CL	1445.949305	12	12	1	1	0.6293721019089618	TRUE	TRUE	TRUE	TRUE	1	FALSE	3150888.498	0.4529163960019094	8.5380153625	0.02490649179096322
CL(18:2_20:4_18:2_20:4) | CL(18:2_20:4_18:2_20:4)-H | 1495.9650	CL(18:2_20:4_18:2_20:4)	CL(18:2_20:4_18:2_20:4)-H	CL	1495.964955	12	12	1	1	0.04433016938408456	TRUE	TRUE	TRUE	TRUE	1	FALSE	7213620.46025	0.09489896569394364	6.414709907	0.01675310916417135
CL(18:2_20:4_22:6_18:2) | CL(18:2_20:4_22:6_18:2)-H | 1519.9650	CL(18:2_20:4_22:6_18:2)	CL(18:2_20:4_22:6_18:2)-H	CL	1519.964955	12	12	1	1	0.11917201324323798	TRUE	TRUE	TRUE	TRUE	1	TRUE	1390448.2335	0.1450180272643846	68303.505	0.03008183283423138
CL(18:3_20:4_18:2_18:2) | CL(18:3_20:4_18:2_18:2)-H | 1469.9493	CL(18:3_20:4_18:2_18:2)	CL(18:3_20:4_18:2_18:2)-H	CL	1469.949305	12	12	1	1	0.3107499461331597	TRUE	TRUE	TRUE	TRUE	1	TRUE	13475000	0.04785539176784936	24.296554685	0.00772442015083666
CL(19:1_18:2_18:1_18:2) | CL(19:1_18:2_18:1_18:2)-H | 1466.0119	CL(19:1_18:2_18:1_18:2)	CL(19:1_18:2_18:1_18:2)-H	CL	1466.011905	12	12	1	1	1.7716009179751355	TRUE	TRUE	TRUE	TRUE	1	FALSE	1804567.24525	0.15595038317259663	1.7949694255000002	0.01875055554732592
