batch	sample_id	intensity	lipidName	LipidIon	Class	CalcMz	qc_grade	qc_sn	qc_rt	qc_height	is_qc
batch1	WT_3	37794383.25	PE(20:0_22:5)-H	PE(20:0_22:5)-H	PE	820.5861805	A	27.332448825635712	NA	NA	FALSE
batch1	WT_2	34189798.06	PE(20:0_22:5)-H	PE(20:0_22:5)-H	PE	820.5861805	NA	3158823	NA	NA	FALSE
batch1	WT_1	36591168.36	PE(20:0_22:5)-H	PE(20:0_22:5)-H	PE	820.5861805	NA	2.4223487466606404	NA	NA	FALSE
batch1	HO_8	36022370.65	PE(20:0_22:5)-H	PE(20:0_22:5)-H	PE	820.5861805	A	2728129.5	NA	NA	FALSE
batch1	HO_7	26153491.77	PE(20:0_22:5)-H	PE(20:0_22:5)-H	PE	820.5861805	NA	2333225	NA	NA	FALSE
batch1	HO_6	27556700.51	PE(20:0_22:5)-H	PE(20:0_22:5)-H	PE	820.5861805	NA	27.310941409819545	NA	NA	FALSE
batch1	HO_5	29490173.19	PE(20:0_22:5)-H	PE(20:0_22:5)-H	PE	820.5861805	NA	2623253.5	NA	NA	FALSE
batch1	QC_1	57115839.27	PE(42:8)	PE(42:8)+H	PE	816.5537834700001	NA	4.783261787225627	NA	NA	TRUE
batch1	WT_4	70482133.96	PE(42:8)	PE(42:8)+H	PE	816.5537834700001	NA	2.8227836865764524	NA	NA	FALSE
batch1	WT_3	74852500.36	PE(42:8)	PE(42:8)+H	PE	816.5537834700001	NA	2.734359353634299	NA	NA	FALSE
batch1	WT_2	48859503.49	PE(42:8)	PE(42:8)+H	PE	816.5537834700001	NA	2.370042668795886	NA	NA	FALSE
batch1	WT_1	56844536.21	PE(42:8)	PE(42:8)+H	PE	816.5537834700001	NA	2.312980574005666	NA	NA	FALSE
batch1	HO_8	68393678.46	PE(42:8)	PE(42:8)+H	PE	816.5537834700001	C	5.483457052950382	NA	NA	FALSE
batch1	HO_7	67494012.49	PE(42:8)	PE(42:8)+H	PE	816.5537834700001	C	2.278162428066474	NA	NA	FALSE
batch1	HO_6	85889594.12	PE(42:8)	PE(42:8)+H	PE	816.5537834700001	C	2.244981656706334	NA	NA	FALSE
batch1	HO_5	75748419.43	PE(42:8)	PE(42:8)+H	PE	816.5537834700001	NA	2.1176069350068576	NA	NA	FALSE
batch1	QC_1	19659774.89	PE(42:8)	PE(42:8)+H	PE	816.5537834700001	NA	10.543287222434731	NA	NA	TRUE
batch1	WT_4	18886080.16	PE(42:8)	PE(42:8)+H	PE	816.5537834700001	NA	11.595712891533084	NA	NA	FALSE
batch1	WT_3	6329914.002	PE(42:8)	PE(42:8)+H	PE	816.5537834700001	NA	1.7440328256108666	NA	NA	FALSE
batch1	WT_2	17595460.45	PE(42:8)	PE(42:8)+H	PE	816.5537834700001	NA	4.936382778788877	NA	NA	FALSE
batch1	WT_1	21443926.63	PE(42:8)	PE(42:8)+H	PE	816.5537834700001	NA	17.554008685462186	NA	NA	FALSE
batch1	HO_8	22972306.07	PE(42:8)	PE(42:8)+H	PE	816.5537834700001	C	3030063.75	NA	NA	FALSE
batch1	HO_7	21547058.57	PE(42:8)	PE(42:8)+H	PE	816.5537834700001	C	11.56503868	NA	NA	FALSE
