feature_id	lipidName	LipidIon	Class	CalcMz	logFC	AveExpr	t	P.Value	adj.P.Val	B	sig_FDR_0.05	sig_FDR_0.05_logFC1
CL(67:4) | CL(67:4)-H | 1385.9493	CL(67:4)	CL(67:4)-H	CL	1385.949305	-1.6336100401261378	17.966889987073085	-3.1852511294417893	0.015376802731224395	0.514582896612364	-4.482462601516293	FALSE	FALSE
CL(67:5) | CL(67:5)-H | 1383.9337	CL(67:5)	CL(67:5)-H	CL	1383.933655	-1.9354735685062536	18.293567695612744	-2.28818600905039	0.05595502539993251	0.514582896612364	-4.522658935762941	FALSE	FALSE
CL(68:5) | CL(68:5)+H | 1399.9639	CL(68:5)	CL(68:5)+H	CL	1399.963857	-1.3356693439327978	22.424608423592307	-2.10574798545566	0.07324480663713323	0.514582896612364	-4.532438263032078	FALSE	FALSE
CL(68:7) | CL(68:7)-H | 1393.9180	CL(68:7)	CL(68:7)-H	CL	1393.918005	-1.7467921545722165	18.911916706578236	-2.09927623964116	0.07394811227565114	0.514582896612364	-4.53279392816457	FALSE	FALSE
CL(69:1) | CL(69:1)-H | 1420.0276	CL(69:1)	CL(69:1)-H	CL	1420.027555	-0.14627604069547429	20.969114773669396	-0.2937737893222463	0.7774496357371331	0.9618564970446974	-4.622880279040429	FALSE	FALSE
CL(69:5) | CL(69:5)-H | 1411.9650	CL(69:5)	CL(69:5)-H	CL	1411.964955	-0.7915780543427946	20.789589378668044	-1.7384678597921432	0.12568704904807076	0.5295607127169472	-4.553386144062118	FALSE	FALSE
CL(69:6) | CL(69:6)-H | 1409.9493	CL(69:6)	CL(69:6)-H	CL	1409.949305	-0.5640997583316416	19.599884977978963	-1.3927710815602794	0.1839895030086021	0.6020403963325379	-4.547965817166926	FALSE	FALSE
CL(70:1) | CL(70:1)-H | 1434.0432	CL(70:1)	CL(70:1)-H	CL	1434.043205	0.1755405218740246	19.72849676337042	0.6558322605607967	0.532886398008091	0.8117223039425573	-4.61198323981724	FALSE	FALSE
CL(70:3)-2H | CL(70:3)-2H | 714.5023	CL(70:3)-2H	CL(70:3)-2H	CL	714.5023140299999	-0.013060325401786251	28.17557554507164	-0.062217973035995855	0.9519155713797602	0.9957568449572634	-4.630561047412247	FALSE	FALSE
CL(70:4) | CL(70:4)+Na | 1451.9928	CL(70:4)	CL(70:4)+Na	CL	1451.992752	0.11737440736366697	25.439630065962344	0.18970964233628593	0.8549202373495757	0.9651389109737464	-4.624561619130635	FALSE	FALSE
CL(70:5) | CL(70:5)+Na | 1449.9771	CL(70:5)	CL(70:5)+Na	CL	1449.977102	0.432361177051458	25.70323964295985	0.927966424712349	0.36811689565833106	0.7103220943320553	-4.606883639969814	FALSE	FALSE
CL(70:6) | CL(70:6)+H | 1425.9795	CL(70:6)	CL(70:6)+H	CL	1425.979507	-0.22535857956748231	24.654105343941946	-0.9700905951291394	0.3473845032954834	0.709405413060247	-4.602258674614612	FALSE	FALSE
CL(70:7)-2H | CL(70:7)-2H | 710.4710	CL(70:7)-2H	CL(70:7)-2H	CL	710.4710140299999	-0.20435337730750794	22.756458997174057	-0.9494229827721511	0.3701998687170116	0.7103220943320553	-4.59929173888901	FALSE	FALSE
CL(71:0) | CL(71:0)-2H | 724.5336	CL(71:0)	CL(71:0)-2H	CL	724.53361399999994	-0.1974828694420523	24.812341121379852	-1.0063662608416835	0.3437034046105794	0.7090574173856047	-4.595832720347583	FALSE	FALSE
CL(71:4) | CL(71:4)+H | 1444.0265	CL(71:4)	CL(71:4)+H	CL	1444.026457	-7.2278394823832075	18.302033536195044	-1.4391547011777277	0.19327947448193789	0.6020403963325379	-4.571087363839455	FALSE	FALSE
