feature_id	lipidName	LipidIon	Class	CalcMz	logFC	AveExpr	t	P.Value	adj.P.Val	B	sig_FDR_0.05	sig_FDR_0.05_logFC1
PC(22:5_20:4) | PC(22:5_20:4)+Na | 878.5670	PC(22:5_20:4)	PC(22:5_20:4)+Na	PC	878.5670285	0.8361881409418662	24.93023864182833	1.13860199265034	0.27163059990135363	0.7182479064262867	-4.7181820345342915	FALSE	FALSE
PC(22:5_22:5) | PC(22:5_22:5)+HCOO | 926.5917	PC(22:5_22:5)	PC(22:5_22:5)+HCOO	PC	926.5916605	-0.19496033417003017	20.869802231987798	-0.47201574654743855	0.6411789622682292	0.8890084721548529	-5.219632850509786	FALSE	FALSE
PC(22:5_22:6) | PC(22:5_22:6)+ | 902.5670	PC(22:5_22:6)	PC(22:5_22:6)+	PC	902.5670285	0.45357115262293335	22.75048462216165	1.8377116839330887	0.10340587436061346	0.6684551759441699	-4.211687166387171	FALSE	FALSE
PC(22:5_22:6) | PC(22:5_22:6)+HCOO | 924.5760	PC(22:5_22:6)	PC(22:5_22:6)+HCOO	PC	924.5760105	-0.056705764333777456	23.513574785691407	-0.5472648345231468	0.589250076444104	0.8698279766208941	-5.189704946216219	FALSE	FALSE
PC(22:6_14:1) | PC(22:6_14:1)+H | 776.5225	PC(22:6_14:1)	PC(22:6_14:1)+H	PC	776.5224835	-0.3886048678116204	23.790988455005177	-2.0185307887059736	0.060621347952723004	0.6589799408539474	-3.9034083607133416	FALSE	FALSE
PC(22:6_22:6) | PC(22:6_22:6)+HCOO | 922.5604	PC(22:6_22:6)	PC(22:6_22:6)+HCOO	PC	922.5603605	-0.26159947377353726	22.953325758720496	-2.333892456140785	0.02830281828634721	0.6589799408539474	-3.4153317067269153	FALSE	FALSE
PC(23:4) | PC(23:4)+H | 600.3660	PC(23:4)	PC(23:4)+H	PC	600.3659834700001	2.895305963425069	22.069663739161054	1.0216633077301043	0.32214010672103077	0.7401385061323087	-4.800990154596254	FALSE	FALSE
PC(24:0_18:2) | PC(24:0_18:2)+HCOO | 914.6856	PC(24:0_18:2)	PC(24:0_18:2)+HCOO	PC	914.6855605	-0.19357832101613043	22.441319659300216	-1.0171067747507476	0.3388714462481968	0.7496564334055112	-4.682239334116725	FALSE	FALSE
PC(24:0_20:4) | PC(24:0_20:4)+HCOO | 938.6856	PC(24:0_20:4)	PC(24:0_20:4)+HCOO	PC	938.6855605	0.03424814511318858	20.409364146081046	0.10478689764755235	0.9191243753940975	0.9807218747422204	-4.951258908786835	FALSE	FALSE
PC(24:1_20:4) | PC(24:1_20:4)+HCOO | 936.6699	PC(24:1_20:4)	PC(24:1_20:4)+HCOO	PC	936.6699105	-0.40341511060212365	22.589751914735444	-1.1808011320095926	0.2492518628796333	0.7074449923657309	-4.774935346019746	FALSE	FALSE
