n	group_ref	group_focal	mediator_col	outcome_col	a	se_a	p_a	b	se_b	p_b	c_total	se_c_total	p_c_total	c_prime	se_c_prime	p_c_prime	ab	se_ab_sobel	z_sobel	p_sobel	ab_boot_mean	ab_boot_ci_low	ab_boot_ci_high	a_boot_mean	a_boot_ci_low	a_boot_ci_high	b_boot_mean	b_boot_ci_low	b_boot_ci_high
5	WT	HO	Supply_mTOR_SREBP_lipogenesis	Synthesis_score	-0.16839646626771212	0.5270143445318501	0.7702836012514753	0.310370973626412	0.5691847005420618	0.6402381675638478	-0.38782247123451186	0.4546617803223049	0.4563540033145877	-0.33555709604375483	0.5283278131523486	0.5903143399656843	-0.05226537519075705	0.18958402373178626	-0.27568449156190195	0.7827904081474435	-0.2913173651476997	-2.507482584789231	0.9584671353188506	-0.16364912528958964	-0.7596023840398615	0.613229206525323	0.4487024837377612	-1.3388058488677956	3.6325558136748266
5	WT	HO	Supply_mTOR_SREBP_lipogenesis	Transport_score	-0.16839646626771212	0.5270143445318501	0.7702836012514753	0.2288067487919337	0.6636182069777488	0.7631368104718963	0.7111413117656326	0.5090889765492134	0.25684514445723466	0.7496715597203982	0.6159827481777636	0.34771129815779556	-0.03853024795476574	0.1644046354327268	-0.23436229674030112	0.8147037264457315	-0.03599325023949824	-3.2926101607300535	2.8203533330596975	-0.16364912528958964	-0.7596023840398615	0.613229206525323	0.7662856897921977	-1.8978787171670939	4.599182985820871
5	WT	HO	Supply_PPAR_alpha_FAO	CL_score	-0.27311537485653337	0.39691079136830965	0.5408201648732732	765555681.5644006	1135126505.4113472	0.5695523591531162	-1099832037.3874567	705910040.0885181	0.2171063105782819	-890747010.4434465	839691782.4810013	0.39994853216391624	-209085026.94401014	434099040.2627267	-0.48165282009715354	0.6300525970267923	-12894829.522472108	-1201538603.359626	1109679099.8061142	-0.26935959832605805	-0.8612292952327035	0.2647859218380287	997271765.7475665	-1288482760.5710742	5236921320.485824
5	WT	HO	Supply_PPAR_alpha_FAO	PC_score	-0.27311537485653337	0.39691079136830965	0.5408201648732732	-6615118207.690873	23103127888.975	0.8015605368029445	48328589348.0347	13231298656.569124	0.03542792960423716	46521898859.02093	17090171487.93469	0.11260965774504032	1806690489.013772	6834300156.245362	0.26435632730628184	0.7915053605404245	-2389309960.4367347	-25960909600.86175	21050080182.89138	-0.26935959832605805	-0.8612292952327035	0.2647859218380287	-7712942808.826289	-91747042832.81813	29939472388.82604
5	WT	HO	Supply_PPAR_alpha_FAO	PE_score	-0.27311537485653337	0.39691079136830965	0.5408201648732732	3413664863.6609306	8179730255.30294	0.7169680046621281	-2922792841.341205	4787163447.31416	0.5846432162893991	-1990468482.4678733	6050825388.664598	0.7734399187974128	-932324358.8733319	2612778302.0069623	-0.3568325556581599	0.7212171626564092	-2274080513.2902293	-19290658264.048473	5824354610.736878	-0.26935959832605805	-0.8612292952327035	0.2647859218380287	4646446427.6081705	-19611152750.11454	24273036032.5391
5	WT	HO	Supply_PPAR_alpha_FAO	sum_CL_score	-0.27311537485653337	0.39691079136830965	0.5408201648732732	765555681.5644006	1135126505.4113472	0.5695523591531162	-1099832037.3874567	705910040.0885181	0.2171063105782819	-890747010.4434465	839691782.4810013	0.39994853216391624	-209085026.94401014	434099040.2627267	-0.48165282009715354	0.6300525970267923	-12894829.522472108	-1201538603.359626	1109679099.8061142	-0.26935959832605805	-0.8612292952327035	0.2647859218380287	997271765.7475665	-1288482760.5710742	5236921320.485824
5	WT	HO	Supply_PPAR_alpha_FAO	CL_fraction_score	-0.27311537485653337	0.39691079136830965	0.5408201648732732	0.0012060345255004092	0.002132707351240494	0.6287173242377759	-0.0022045573827507185	0.0012892821270239696	0.18581138487539242	-0.001875170811228753	0.001577636350429954	0.3565998383292712	-3.293865715219656e-4	7.539360949247933e-4	-0.43688924530775064	0.6621916718510605	4.459397269690373e-5	-0.0021987527575652323	0.0021846027927690317	-0.26935959832605805	-0.8612292952327035	0.2647859218380287	0.0015910600180157942	-0.0025366099421626777	0.009583291924515857
5	WT	HO	Supply_PPAR_alpha_FAO	mito_lipid_mass_score	-0.27311537485653337	0.39691079136830965	0.5408201648732732	-2435897662.465601	29748934597.534462	0.9421975968514413	44305964469.306076	16726537587.313915	0.07707010940438734	43640683366.10963	22006301324.1526	0.1858228598782647	665281103.196446	8182214172.926186	0.08130819960662593	0.9351968532400794	-4676285303.249415	-43159450992.70612	24348047232.49411	-0.26935959832605805	-0.8612292952327035	0.2647859218380287	-2069224615.4706423	-106121274262.44698	54306643907.687164
5	WT	HO	Supply_PPAR_alpha_FAO	Membrane context_score	-0.27311537485653337	0.39691079136830965	0.5408201648732732	-0.3823755357279559	0.39895278183410726	0.4389783536412386	0.16274547835513403	0.27052249671773143	0.5898659613234188	0.058312840578825596	0.29511897652556285	0.8616261718323762	0.10443263777630844	0.18683183352595054	0.5589659738676331	0.5761849423310554	0.047567506458391834	-0.38322958253677436	0.5343674569945114	-0.26935959832605805	-0.8612292952327035	0.2647859218380287	-0.5198452198367276	-1.8710002246513187	0.4312824587380845
5	WT	HO	Supply_PPAR_alpha_FAO	Oxidation_score	-0.27311537485653337	0.39691079136830965	0.5408201648732732	0.5220722243641395	0.5105847352964749	0.41408690498313017	0.10234776187439153	0.35366354069594236	0.7911279302439007	0.24493371313378764	0.3776969390150242	0.5831798380285174	-0.14258595125939613	0.2497687083619093	-0.5708719566775846	0.5680864416926328	-0.06099874695910219	-0.5753043734388109	0.5135954676869912	-0.26935959832605805	-0.8612292952327035	0.2647859218380287	0.666912396161801	-0.48025295586479905	2.5074714458663925
5	WT	HO	Supply_PPAR_alpha_FAO	Remodeling_score	-0.27311537485653337	0.39691079136830965	0.5408201648732732	0.5220722243641395	0.5105847352964749	0.41408690498313017	0.10234776187439153	0.35366354069594236	0.7911279302439007	0.24493371313378764	0.3776969390150242	0.5831798380285174	-0.14258595125939613	0.2497687083619093	-0.5708719566775846	0.5680864416926328	-0.06099874695910219	-0.5753043734388109	0.5135954676869912	-0.26935959832605805	-0.8612292952327035	0.2647859218380287	0.666912396161801	-0.48025295586479905	2.5074714458663925
5	WT	HO	Supply_PPAR_alpha_FAO	Supply_score	-0.27311537485653337	0.39691079136830965	0.5408201648732732	-0.2016217666727461	0.3768024340047026	0.6461204430233637	-0.16498469403937993	0.22613867738180696	0.5184545242851035	-0.2200506984234435	0.2787336089363293	0.5125691267740718	0.055066004384063554	0.13036378445236232	0.42240262213456864	0.672731164297095	0.04487508759331655	-0.3140942321969203	0.906248273955332	-0.26935959832605805	-0.8612292952327035	0.2647859218380287	-0.38470066466590475	-1.1403134463866447	0.44201804511768783
5	WT	HO	Supply_PPAR_alpha_FAO	Synthesis_score	-0.27311537485653337	0.39691079136830965	0.5408201648732732	-0.7048287573828447	0.6385097410278253	0.3846983582529141	-0.38782247123451186	0.4546617803223049	0.4563540033145877	-0.580322041516792	0.4723274278410463	0.3441579492606268	0.19249957028228024	0.3296561000511404	0.5839405679203792	0.5592602981486472	0.09326530639913626	-0.6481744596794186	0.7300218386015705	-0.26935959832605805	-0.8612292952327035	0.2647859218380287	-0.8981916071631927	-3.164511861651667	0.5668983684642376
5	WT	HO	Supply_PPAR_alpha_FAO	Transport_score	-0.27311537485653337	0.39691079136830965	0.5408201648732732	0.4573054655999966	0.8473508210100634	0.6434621792860574	0.7111413117656326	0.5090889765492134	0.25684514445723466	0.8360384654269172	0.6268142959298107	0.31388137830552976	-0.1248971536612846	0.2941139330614504	-0.4246556848267006	0.6710876932637431	-0.12303330655882336	-2.2064245905809106	0.6661773310941528	-0.26935959832605805	-0.8612292952327035	0.2647859218380287	0.8676109821976964	-0.8417086502839662	2.7762983956883884
5	WT	HO	Synthesis_core_CL_synthesis_enzymes	CL_score	0.15079281950293125	0.36551148045104664	0.7076448704610154	-833813374.3844243	1231797635.615668	0.5682617563380781	-1099832037.3874567	705910040.0885181	0.2171063105782819	-974098967.724776	801647997.2374845	0.3483008857157349	-125733069.66268054	356910939.7719279	-0.3522813555197442	0.724627269217115	-375438623.50867945	-1739038049.6175508	161625090.80228686	0.1499933673011084	-0.32165127504127033	0.6432737823350353	-524708099.76482576	-3676029834.7911544	2448355318.0703325
5	WT	HO	Synthesis_core_CL_synthesis_enzymes	PC_score	0.15079281950293125	0.36551148045104664	0.7076448704610154	18712446627.75283	21911656386.792824	0.48307310965463135	48328589348.0347	13231298656.569124	0.03542792960423716	45506886761.23773	14260000953.686665	0.08575207464696535	2821702586.796967	7595889187.493504	0.37147758704048106	0.7102818465545915	8738200138.870348	-24296797004.317894	48591420959.20091	0.1499933673011084	-0.32165127504127033	0.6432737823350353	25864979774.932167	-39180442646.69587	75537698400.85483
5	WT	HO	Synthesis_core_CL_synthesis_enzymes	PE_score	0.15079281950293125	0.36551148045104664	0.7076448704610154	7370979803.411401	7655205290.040553	0.43720790610748095	-2922792841.341205	4787163447.31416	0.5846432162893991	-4034283668.3967724	4981970911.265442	0.5030958615207932	1111490827.055567	2931060830.966968	0.37921110858995105	0.7045311030894033	3118157113.6930604	-19698310695.054325	39394859618.673775	0.1499933673011084	-0.32165127504127033	0.6432737823350353	15888619551.02487	-3914321231.978368	61241201958.633286
5	WT	HO	Synthesis_core_CL_synthesis_enzymes	sum_CL_score	0.15079281950293125	0.36551148045104664	0.7076448704610154	-833813374.3844243	1231797635.615668	0.5682617563380781	-1099832037.3874567	705910040.0885181	0.2171063105782819	-974098967.724776	801647997.2374845	0.3483008857157349	-125733069.66268054	356910939.7719279	-0.3522813555197442	0.724627269217115	-375438623.50867945	-1739038049.6175508	161625090.80228686	0.1499933673011084	-0.32165127504127033	0.6432737823350353	-524708099.76482576	-3676029834.7911544	2448355318.0703325
5	WT	HO	Synthesis_core_CL_synthesis_enzymes	CL_fraction_score	0.15079281950293125	0.36551148045104664	0.7076448704610154	-0.0016764248346716655	0.00219450510100134	0.5247335626996174	-0.0022045573827507185	0.0012892821270239696	0.18581138487539242	-0.0019517645552458427	0.0014281734014417772	0.30509807997309524	-2.527928275048758e-4	6.963984467722703e-4	-0.36300027473717467	0.7166046790970129	-7.284615164491166e-4	-0.00318234861236747	3.572007691609124e-4	0.1499933673011084	-0.32165127504127033	0.6432737823350353	-0.0013312660720542944	-0.006726942200224869	0.004242283566017834
5	WT	HO	Synthesis_core_CL_synthesis_enzymes	mito_lipid_mass_score	0.15079281950293125	0.36551148045104664	0.7076448704610154	25249613056.77979	26987200574.51775	0.4482406534512364	44305964469.306076	16726537587.313915	0.07707010940438734	40498504125.11623	17563140783.912434	0.14755228502980644	3807460344.189851	10086402196.54577	0.3774844855476583	0.7058135918256212	11480918629.05472	-44071501523.96478	88139061394.57256	0.1499933673011084	-0.32165127504127033	0.6432737823350353	41228891226.192116	-40646408560.604164	137016405479.22643
5	WT	HO	Synthesis_core_CL_synthesis_enzymes	Membrane context_score	0.15079281950293125	0.36551148045104664	0.7076448704610154	0.2373452045673502	0.4957042638778609	0.6793154057354134	0.16274547835513403	0.27052249671773143	0.5898659613234188	0.1269555257629233	0.32260195901508854	0.7319140822164403	0.03578995259221073	0.1145134844505077	0.31253919801627394	0.7546307781899475	0.09628402189654531	-0.9601136856198471	0.6213078987426495	0.1499933673011084	-0.32165127504127033	0.6432737823350353	-0.09646400461984822	-1.492542851870485	1.313338930606876
5	WT	HO	Synthesis_core_CL_synthesis_enzymes	Oxidation_score	0.15079281950293125	0.36551148045104664	0.7076448704610154	-0.2810521253157376	0.6546873464955794	0.709532460694366	0.10234776187439153	0.35366354069594236	0.7911279302439007	0.14472840427804276	0.4260673871748326	0.7664495401284801	-0.042380642403651234	0.14247476804419076	-0.29746068714781987	0.7661148174587766	-0.14546521424796985	-0.832662548439178	0.8518683826565403	0.1499933673011084	-0.32165127504127033	0.6432737823350353	0.05133040560587227	-1.7601066124164475	1.3543304718362648
